MAIN_ID,OTYPE_S,RA_d,DEC_d,Z_VALUE
2MASX J01511487+3249183,Galaxy,27.811987,32.821761,0.08376
AGC 113955,Galaxy,28.3463,31.3894,0.0371
2MASX J01460319+3724387,Galaxy,26.513296,37.410756,0.07128
[ZHG90] 0149+3555,GinCl,28.133,36.163,0.017922
IC 1732,GinGroup,27.699696,35.932822,0.01623
4C 31.06B,Galaxy,29.317675,32.246461,0.0894
2MASX J02091100+3549430,Galaxy,32.29585,35.828614,0.09627
2MASX J01511655+3306123,GinCl,27.818987,33.103428,0.08644
UGC  1308,GinGroup,27.713371,36.275772,0.01752
NFP J015417.5+363418,Galaxy,28.57304,36.57158,0.11795
2MASX J01485931+3253582,Galaxy,27.247133,32.899514,0.0397
2MASX J01512693+3050422,Galaxy,27.862217,30.845081,0.05107
NFP J015140.5+361900,Galaxy,27.91875,36.31675,0.0802
2MASX J01544740+3601216,GinCl,28.6975,36.022675,0.07107
2MASX J01532270+3407031,LSB_G,28.344592,34.117539,0.09734
2MASX J02070068+3453020,GinGroup,31.752833,34.883911,0.03637
2MASX J01524360+3456336,Galaxy,28.181675,34.942681,0.08752
2MASX J01540292+3409392,GinCl,28.512208,34.1609,0.09122
2MASX J01500359+3648336,Galaxy,27.514996,36.809344,0.08107
2MASX J01501555+3712256,Galaxy,27.564821,37.207119,0.10312
2MASX J01530126+3335587,Galaxy,28.255254,33.599639,0.037236
2MASX J01504566+3612327,GinCl,27.690287,36.209106,0.01784
2MASX J01472729+3750095,Galaxy,26.863721,37.835978,0.07486
MCG+05-06-007,GinPair,31.813004,32.952847,0.039968
2MASX J02092731+3327598,Galaxy,32.363804,33.466636,0.039402
2MASX J01531366+3322020,Galaxy,28.306921,33.36725,0.03634
NGC   714,GinGroup,28.37355,36.221333,0.01443
2MASX J01520298+3155156,Galaxy,28.012437,31.921025,0.04389
2MASX J01532047+3307121,Galaxy,28.335292,33.120036,0.02626
2MASX J01490120+3710065,Galaxy,27.255004,37.168492,0.081
2MASX J01535138+3612130,GinCl,28.464112,36.203617,0.01498
2MASX J01521075+3414401,Galaxy,28.044804,34.244492,0.17744
NFP J015218.4+364203,Galaxy,28.07654,36.70075,0.05998
NGC   717,GinGroup,28.4796,36.229453,0.016792
NGC   736,GinGroup,29.1703,33.043506,0.014567
2MASX J01500131+3202151,Galaxy,27.505467,32.037544,0.07485
AGC 113958,Galaxy,28.5687,30.8697,0.0446
2MASX J01470847+3310518,Galaxy,26.7853,33.181067,0.10003
2MASX J01534075+3605459,GinCl,28.419817,36.096097,0.01695
AGC 113936,Galaxy,24.92,30.6022,0.0143
2MASX J01495358+3311380,GinCl,27.47325,33.193908,0.08976
MCG+06-05-074,GinGroup,29.994712,36.591686,0.017829
2MASX J02101793+3131357,Galaxy,32.574742,31.526606,0.04759
2MASX J01535068+3633510,GinGroup,28.461187,36.564175,0.019157
2MASX J01512084+3649334,Galaxy,27.836875,36.825967,0.07748
2MASX J01511776+3726404,Galaxy,27.824038,37.444575,0.073
