,file,mass
0,g2_model334.fits,435938907.8079497
0,g2_model430.fits,
0,g2_model890.fits,2644141471.2376094
0,g1_model473.fits,703518349.5159869
0,g2_model818.fits,2246842892.7050977
0,g2_model403.fits,564650390.3437287
0,g2_model276.fits,443117089.32233924
0,g1_model242.fits,449783298.308165
0,g1_model141.fits,245502075.49549264
0,g2_model518.fits,794444451.9681088
0,g2_model179.fits,328590230.32300943
0,g1_model576.fits,
0,g2_model486.fits,1169272500.2206154
0,g2_model303.fits,375731527.07054055
0,g1_model398.fits,560269488.6083868
0,g1_model926.fits,4254734597.4378567
0,g1_model607.fits,1202999917.6150897
0,g1_model213.fits,
0,g2_model121.fits,280804808.14344245
0,g2_model413.fits,510860693.8722313
0,g1_model388.fits,
0,g1_model48.fits,
0,g2_model110.fits,
0,g2_model839.fits,2035501408.6517606
0,g2_model460.fits,532016615.8453995
0,g1_model230.fits,
0,g2_model1002.fits,
0,g2_model564.fits,768830710.6219579
0,g1_model877.fits,
0,g2_model914.fits,3529226880.096855
0,g2_model275.fits,387391290.7608875
0,g2_model989.fits,7378211067.020346
0,g2_model722.fits,3168736332.987521
0,g1_model916.fits,3892751763.600927
0,g1_model629.fits,
0,g1_model255.fits,450906958.1416615
0,g1_model163.fits,
0,g1_model66.fits,222821699.5578989
0,g2_model768.fits,1729173694.6703806
0,g1_model10.fits,228356832.08463427
0,g1_model145.fits,246123782.27432042
0,g1_model30.fits,
0,g2_model567.fits,801263902.236677
0,g1_model835.fits,2120221436.7682824
0,g1_model233.fits,321033829.50303215
0,g1_model126.fits,
0,g1_model630.fits,
0,g2_model761.fits,
0,g1_model872.fits,2811853050.8098326
0,g2_model270.fits,
0,g2_model506.fits,955276229.4365866
0,g1_model355.fits,510533925.58666533
0,g2_model463.fits,717822698.5917866
0,g2_model911.fits,
0,g1_model240.fits,421035533.63336647
0,g2_model632.fits,
0,g1_model857.fits,2761476871.0749593
0,g2_model696.fits,1102832895.8760366
0,g1_model456.fits,585956276.1341125
0,g2_model827.fits,2137841345.3574526
0,g1_model651.fits,
0,g1_model273.fits,415796629.0259429
0,g2_model888.fits,
0,g2_model678.fits,1139721996.1212587
0,g2_model561.fits,662832937.4420253
0,g1_model850.fits,2211164610.6675935
0,g2_model305.fits,495818650.0439903
0,g1_model331.fits,
0,g2_model807.fits,1724375097.8827536
0,g1_model1005.fits,
0,g2_model165.fits,
0,g2_model478.fits,
0,g2_model287.fits,467055224.17348254
0,g2_model628.fits,
0,g2_model810.fits,
0,g1_model120.fits,319198329.67184716
0,g1_model818.fits,2598416136.2490644
0,g1_model124.fits,432441226.33745354
0,g1_model773.fits,1599080096.5325096
0,g2_model603.fits,972668222.906151
0,g1_model517.fits,
0,g1_model451.fits,
0,g1_model748.fits,
0,g2_model171.fits,
0,g2_model774.fits,
0,g1_model879.fits,3499937712.814426
0,g1_model487.fits,605435775.9973763
0,g1_model782.fits,1426588390.2339814
