,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,max_loc-0,max_loc-1,max_loc-2,elongation,detection_size,n_vel,nx,ny,mos_name,max_loc,dist,nx_kpc,ny_kpc,file,overlap_areas,area_gts,hi_mass,true_positive_mocks,type,area_gt,overlap_area,tot_flux,peak_flux
0,1,4.672497570456754,122.70068027210884,987.9426627793974,0,116,983,12,130,993,1029,3.8834502696990967,2,7,5,2.491058985116305,1680,92.75147737012428,14,10,1245mosE,"[2, 123, 988]",254.42901568480596,103.61456908272726,74.01040448367469,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,13201296053.831093,True,mock,808.0,784.0,0.9739615717025897,0.04330052461848472
1,2,9.290836653386457,40.788844621513945,449.45418326693226,5,38,447,16,45,453,251,3.332363605499268,2,5,4,1.2517116659429068,462,85.02218758928062,7,6,1245mosE,"[7, 43, 451]",253.8094624397942,51.68112787501278,44.29810944472632,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,7942213786.903568,False,,,,0.5886618175516348,0.06532922559254496
2,3,8.0,47.0,450.5,8,47,450,9,48,452,2,-0.5109254121780396,0,0,0,inf,2,7.7292897808436924,1,2,1245mosE,"[8, 47, 450]",253.93335955239436,7.386622188906131,14.773244390312788,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,-71272528.32442693,False,,,,-0.00527771922929626,-0.0024485265931548125
3,4,22.86106489184692,597.9567387687188,404.6738768718802,16,591,400,31,607,410,1202,4.354726314544678,8,5,5,2.3412408441633343,2400,115.93934671265538,16,10,1245mosE,"[24, 596, 405]",252.1994155796469,117.37894927519817,73.36184006905586,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,9553287621.332317,True,mock,981.0,938.0,0.7166321582383223,0.02434100696990065
4,5,25.585741811175332,219.6868978805395,927.8275529865124,17,214,924,39,227,932,1038,3.915539026260376,6,8,5,1.6353880455128056,2288,170.04437517856124,13,8,1245mosE,"[23, 222, 929]",251.8280285858912,95.22995220921068,58.603045777796886,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,4647792559.824148,True,mock,2728.0,941.0,0.3496222479631715,0.01831638672346896
5,6,18.11111111111111,404.0,178.55555555555554,17,403,178,20,406,180,9,1.1645421981811523,1,2,0,2.6666666666666665,18,23.187869342531076,3,2,1245mosE,"[18, 405, 178]",252.69469287902973,22.05177255490552,14.701181682537776,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,46364857.63809063,False,,,,0.0034651587552339356,0.0025726120884666096
6,7,32.8557268722467,93.04515418502204,1432.7544052863436,27,86,1429,39,101,1438,908,3.8773350715637207,7,7,3,2.538827246446248,1620,92.75147737012428,15,9,1245mosE,"[34, 93, 1432]",250.96169544598905,109.50270664721656,65.70162131981513,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,13960075842.318186,True,mock,1238.0,736.0,1.056981519126345,0.042680948901381965
7,8,44.65446142907928,158.47209384998223,780.2755065766086,31,149,775,59,169,786,2813,8.057745933532715,22,7,6,1.7894453539207151,6160,216.42011386362336,20,11,1245mosE,"[53, 156, 781]",249.4773228120525,145.14004295830904,79.8270173452546,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,51564722488.88045,True,mock,2327.0,2320.0,3.948213245676798,0.12237408028674461
8,9,46.67875647668394,65.07772020725389,1364.3471502590671,44,61,1362,52,72,1367,193,3.302998304367065,0,4,2,4.316040876304134,440,61.83431824674954,11,5,1245mosE,"[44, 65, 1364]",249.23002186698503,79.74788671883582,36.24903843613358,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,5564646482.700603,False,,,,0.42687383752599434,0.03270448029884465
9,10,67.04029304029304,878.2092796092796,590.0175824175824,46,869,585,90,888,596,4095,6.314929008483887,33,7,5,2.2555548375968955,9196,340.0887503571225,19,11,1245mosE,"[79, 876, 590]",246.63499040835208,136.3121172311448,78.91753621272655,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,31854574087.29488,True,mock,3191.0,3168.0,2.492456524178099,0.09001068900824111
10,11,76.03012048192771,233.1301204819277,455.2253012048193,70,227,452,84,241,460,830,4.853059768676758,6,6,3,3.038565183749782,1568,108.21005693181168,14,8,1245mosE,"[76, 233, 455]",245.5237435966504,99.987954690909,57.13597198186021,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,6420937848.76127,True,mock,1136.0,822.0,0.5067147125730113,0.01838060181578742
11,12,90.45016770483949,356.09463344513654,1267.5158121705797,70,346,1262,110,368,1275,4174,6.276944637298584,36,13,6,1.4435059424065704,11440,309.1715912337477,22,13,1245mosE,"[106, 359, 1268]",243.7962208405849,156.01840618584032,92.19268637333806,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,33203823367.809296,True,mock,3361.0,3321.0,2.655551767125025,0.06548263334631388
12,13,80.35891286970424,634.2765787370104,152.01119104716227,73,628,147,89,642,157,1251,4.1882004737854,7,6,5,2.2016269389328897,2240,123.66863649349908,14,10,1245mosE,"[80, 634, 152]",245.03003113074644,99.78689348620432,71.27635056018856,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,15587484811.604853,True,mock,1442.0,1185.0,1.2347946787447361,0.06763801486169593
13,14,101.94091344618332,594.9434685404025,584.8335994889811,86,586,578,119,604,592,3131,8.282487869262695,24,11,6,2.433908134633917,8316,255.06656276784184,18,14,1245mosE,"[110, 597, 584]",242.43980593536577,126.94120021657444,98.73204104838696,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,27543500408.421402,True,mock,2603.0,2544.0,2.22623790996623,0.07099155848342131
14,15,99.11976047904191,95.08143712574852,1387.014371257485,87,90,1383,108,102,1392,835,3.0828540325164795,6,4,5,4.04273701871793,2268,162.31508539771752,12,9,1245mosE,"[93, 94, 1388]",242.6863663587509,84.71352834399107,63.53514512901498,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,9355019676.46887,False,,,,0.7546777894013141,0.05334539960661145
15,16,100.39035769828926,834.706065318818,1516.1959564541214,92,828,1512,108,842,1521,1286,3.992403984069824,12,6,4,2.5782251851061817,2016,123.66863649349908,14,9,1245mosE,"[104, 834, 1516]",242.56308278861357,98.78224474859294,63.502869564308895,data/vnet_output/vnet_cubeout_loud_1245mosE.fits,,,6182804194.729215,True,mock,1480.0,1121.0,0.49925226617442364,0.022784070847125318
