label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
1,47.47130647130647,157.24786324786325,315.5567765567766,39,152,311,56,163,322,819,2.9919145107269287,1.5321564139179173,131.39792627434275,11,11,7,7,5,"[46, 159, 316]",249.10638151465767,79.70832464386018,79.70832464386018,"[0.4401703816315273, 0.013086578499195894]",real
2,125.56639566395664,117.93631436314364,339.4186991869919,119,112,334,134,124,346,738,4.846230983734131,2.0915473309429697,115.93934671265538,12,12,12,6,1,"[131, 118, 335]",239.48317509777937,83.59540359001784,83.59540359001784,"[0.44143725873571693, 0.013781096599705106]",real
3,321.0998555807716,312.49556426655664,1393.1343098824016,299,302,1385,349,322,1403,4847,6.369337558746338,1.669046133424548,386.46448904218454,20,18,9,10,7,"[308, 312, 1392]",215.4812041684238,125.36190014061776,112.82570770801904,"[3.727024760749265, 0.07791366651204014]",real
4,337.0340705319785,534.0,1204.0125523012553,324,527,1198,351,541,1210,1673,4.5084428787231445,1.6959496472548252,208.69082408277967,14,12,6,8,5,"[330, 535, 1203]",213.5331029724808,86.95997345208652,74.53711900856993,"[1.1650229390782447, 0.05738094468459229]",real
5,328.0,540.3333333333334,1198.3333333333333,328,540,1198,329,542,1200,3,0.9965574741363525,3.0000000000000004,7.7292897808436924,2,2,0,0,0,"[328, 540, 1198]",214.62870221853157,12.4865920595825,12.4865920595825,"[0.002059055981029854, 0.0009914947318671475]",real
6,348.4691812327507,756.0855565777368,1106.541858325667,336,752,1102,362,762,1112,1087,4.569305419921875,1.1293625593460286,200.96153430193598,10,10,24,5,4,"[360, 757, 1106]",212.1947619175621,61.724957417164866,61.724957417164866,"[0.5850007278193907, 0.04377117660314878]",real
7,354.55,489.7156976744186,1038.5587209302325,340,483,1034,371,497,1045,1720,5.618340492248535,2.867128765028354,239.60798320615444,14,11,3,6,2,"[343, 489, 1036]",211.46509346219477,86.11778997041664,67.66397640253571,"[1.2549203705448082, 0.044165827607376786]",real
8,355.23885714285717,855.8285714285714,781.3091428571429,341,849,776,376,863,788,1750,5.803173065185547,2.053915881226695,270.5251423295292,14,12,32,9,3,"[373, 858, 779]",211.34350508385165,86.06827389068187,73.77280511000453,"[1.3231483396951798, 0.05956833895893018]",real
9,364.907655565875,774.1028260581134,1181.0693910043783,344,762,1169,391,787,1196,7537,9.161911964416504,2.500950773183577,363.2766196996535,25,27,7,10,10,"[351, 772, 1179]",210.24950566200138,152.897785840626,165.1296135517119,"[5.8660455290541025, 0.07797859650090747]",real
10,356.72788139646104,946.7517934002869,1053.6967957914874,344,941,1047,372,955,1061,2091,4.3416643142700195,1.6749343069424036,216.42011386362336,14,14,4,7,6,"[348, 948, 1053]",211.2219232843375,86.01876049013258,86.01876049013258,"[1.239356511547893, 0.041720041732885016]",real
