label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
1,13.087810745789895,95.72574178027266,941.5425020048116,0,86,936,26,105,949,2494,4.627563953399658,2.593788530399882,200.96153430193598,19,13,9,5,4,"[9, 91, 940]",322.73475700800685,178.3715196250219,122.04366471320424,"[1.2233934654160523, 0.02744895985641512]",real
2,144.2643207855974,847.4296235679215,834.0270049099836,136,840,828,154,859,840,1222,3.799912691116333,5.3320995178095645,139.12721605518644,19,12,0,4,6,"[136, 844, 834]",306.06828735214475,169.16016740854315,106.8379939294756,"[0.6259505992343527, 0.022219322609902684]",real
1,15.215919085312224,49.440633245382585,1004.2014072119613,0,43,999,32,56,1011,2274,0.0012342644622549415,2.9069983202913074,247.33727298699816,13,12,0,6,7,"[0, 49, 1006]",322.4793970936416,121.94709916179319,112.56655227868058,"[0.0005008113758605686, 1.9215522514888668e-05]",mock
2,14.632905591200734,318.4307974335472,1418.4271310724107,0,311,1414,31,327,1423,2182,0.0012947575887665153,2.3197940695272794,239.60798320615444,16,9,5,9,5,"[5, 320, 1419]",322.607073510996,150.14816442153284,84.45833831830682,"[0.0005733110635057129, 2.3434617369644877e-05]",mock
3,6.406219630709427,331.5655976676385,1459.7201166180757,0,326,1456,15,339,1464,1029,0.00010129863949259743,2.693609344115933,115.93934671265538,13,8,9,6,4,"[9, 332, 1460]",323.6287397669455,122.38172849382329,75.3118306888719,"[2.3277787912284165e-05, 1.210008002837661e-06]",mock
4,4.743532058492688,856.3284589426322,724.5286839145107,0,850,720,12,864,729,889,0.0005032322369515896,2.6768782637471005,92.75147737012429,14,9,2,7,4,"[2, 857, 724]",323.8842271628433,131.8997541999855,84.7926963782162,"[8.540823959233364e-05, 3.996408929904898e-06]",mock
5,9.870103092783506,861.4646048109965,1189.6714776632302,0,855,1186,21,869,1195,1455,0.0003111628466285765,3.151150076542148,162.31508539771752,14,9,17,6,4,"[17, 861, 1190]",323.2455618043967,131.6396618684352,84.6254941705001,"[7.45054164077203e-05, 3.675657232337968e-06]",mock
6,17.4797520661157,893.4640495867768,620.350826446281,0,887,616,37,901,626,2420,0.0002671030815690756,2.8924242203196813,285.9837218912166,14,10,0,6,5,"[0, 893, 621]",322.2240654955479,131.22366411135513,93.73118611299859,"[8.597621528162132e-05, 3.954971638561029e-06]",mock
7,14.770833333333334,468.40379901960785,1012.4209558823529,3,462,1008,27,476,1018,1632,0.000521773356013,2.79085400665821,185.50295474024858,14,10,4,6,5,"[7, 468, 1013]",322.607073510996,131.37964164547824,93.8425986343555,"[0.0001467390241233335, 6.463201700390962e-06]",mock
8,8.685929648241206,849.4020100502513,1072.4321608040202,3,843,1069,15,857,1077,796,0.00023055195924825966,2.8498719800353216,92.75147737012429,14,8,7,7,3,"[10, 850, 1072]",323.3732807085257,131.69167456509805,75.2523826640472,"[2.8155885636039437e-05, 1.28729246172488e-06]",mock
9,13.683653209794837,774.432825943084,771.4162806088683,4,767,767,25,783,777,1511,0.0012174613075330853,2.2818732309517538,162.31508539771752,16,10,15,6,5,"[19, 773, 772]",322.73475700800685,150.20759102521654,93.8797402600236,"[0.0003567337440267989, 1.4460414488805785e-05]",mock
10,22.71973587674248,797.43396918562,153.43103448275863,4,790,149,42,806,159,2726,0.0012932869140058756,2.3650002629162143,293.7130116720603,16,10,33,6,3,"[37, 796, 152]",321.5858603530994,149.67287018984558,93.54553975262164,"[0.0007150590538389719, 2.4674216644799978e-05]",mock
11,22.725583405358687,607.4127052722558,468.4070872947277,7,600,464,40,615,474,2314,0.000602303072810173,2.3650002629162143,255.06656276784182,15,10,27,8,5,"[34, 608, 469]",321.5858603530994,140.31831457608604,93.54553975262164,"[0.00023927970167002464, 1.0462182813347005e-05]",mock
12,20.696664080682698,293.41892940263773,460.4266873545384,12,287,456,30,301,466,1289,0.0008686134242452681,3.015565589353611,139.12721605518644,14,10,5,7,5,"[17, 294, 461]",321.8411211811155,131.06771251905818,93.619792121517,"[0.00020639580566369223, 8.664196135437466e-06]",mock
13,24.658885542168676,826.4013554216867,916.4322289156627,16,820,912,35,834,922,1328,0.0010559631045907736,2.9474768155495337,146.85650583603015,14,10,5,6,5,"[21, 826, 917]",321.3306278248748,130.85981740542852,93.47129561580238,"[0.0002369803833093508, 9.282696655348366e-06]",mock
14,32.68854961832061,738.4213740458015,1114.4132315521629,19,732,1110,47,746,1120,1965,0.0005951663479208946,2.5452716211499933,216.42011386362336,14,10,4,6,5,"[23, 738, 1115]",320.30998061580107,130.44416543873353,93.17440136191642,"[0.00021041719505703103, 9.114368622775273e-06]",mock
15,27.727522935779817,145.40183486238533,1329.426605504587,20,139,1326,36,153,1334,1090,0.00022990348224993795,2.648863397183711,123.66863649349908,14,8,4,6,3,"[24, 145, 1329]",320.94783208435575,130.7039263188957,74.68795511580291,"[4.190299767825831e-05, 1.967934847739602e-06]",mock
16,32.71224489795918,199.3969387755102,646.4387755102041,20,193,643,47,207,651,1960,0.0004973493632860482,2.0589174627415425,208.69082408277967,14,8,3,7,3,"[23, 200, 646]",320.30998061580107,130.44416543873353,74.53952033266519,"[0.00014471901083115316, 5.995012630627911e-06]",mock
17,30.735910878112712,543.4200524246396,31.420052424639582,20,537,27,42,551,37,1526,0.0003133614081889391,2.7963895288853458,170.04437517856124,14,10,18,6,4,"[38, 543, 31]",320.56509999190376,130.54806115262602,93.2486125841159,"[0.00010642565872864068, 4.910884272928504e-06]",mock
18,30.708643815201192,101.39716840536512,732.424739195231,21,95,729,41,109,737,1342,0.0001936580811161548,2.4749749331550803,154.58579561687384,14,8,15,7,4,"[36, 102, 733]",320.56509999190376,130.54806115262602,74.59888930982196,"[4.246215503209199e-05, 1.995470881100895e-06]",mock
19,35.73347001537673,376.9056893900564,309.9277293695541,22,370,306,50,384,315,1951,0.0004699404234997928,2.9747401437630594,216.42011386362336,14,9,23,7,3,"[45, 377, 309]",319.92735456818997,130.2883434585386,83.75678950660115,"[0.0001997873124970843, 1.264912645660643e-05]",mock
20,47.70905459387483,721.9310918774967,1332.9430758988017,25,716,1329,71,729,1338,3004,5.0565107812872157e-05,2.505414726437566,355.54732991880985,13,9,4,6,4,"[29, 722, 1333]",318.39748627668985,120.40350540774054,83.35627090563017,"[2.713717180435908e-05, 1.3662561053154307e-06]",mock
21,29.68421052631579,851.4110953058322,375.40113798008537,25,845,371,35,859,381,703,0.0010168371954932809,2.9575167033363052,77.29289780843692,14,10,4,7,4,"[29, 852, 375]",320.6926702850272,130.60001332841918,93.28572128010623,"[0.000106680038966318, 4.843331758633907e-06]",mock
22,34.66093366093366,74.92383292383292,1009.9205569205569,27,69,1006,44,82,1015,1221,0.00038487178971990943,3.210144927536232,131.39792627434275,13,9,4,6,3,"[31, 75, 1009]",320.0548895159715,121.03026022988836,83.79017807942415,"[8.049841531742543e-05, 3.8604204296900775e-06]",mock
23,40.678187762727696,516.9411489957963,422.922466137319,27,510,418,56,525,428,2141,0.0008060777327045798,2.385440128126501,224.14940364446707,15,10,4,8,4,"[31, 518, 422]",319.28978582711954,139.31646297952386,92.8776387117948,"[0.000295114859357484, 1.2284415820091397e-05]",mock
24,42.6590343454455,716.9158785465405,1163.9238427078149,30,710,1160,57,725,1169,2009,0.0008592044468969107,1.9816928768411142,208.69082408277967,15,9,22,8,3,"[52, 718, 1163]",319.0348077853856,139.20520781105742,83.52312129428765,"[0.00028326141349396247, 1.1542690280503683e-05]",mock
25,45.67251908396947,630.9587786259542,1441.9068702290076,37,625,1438,56,638,1447,1310,0.00017705286154523492,2.7556766575840146,146.85650583603015,13,9,4,6,4,"[41, 631, 1442]",318.65239369527836,120.49989984574758,83.42300551490172,"[5.1328455024260235e-05, 2.458815525905419e-06]",mock
26,42.71135646687697,239.91167192429023,709.9369085173502,38,233,706,48,248,715,634,0.00048657116713002324,2.5884857857695214,77.29289780843692,15,9,5,7,4,"[43, 240, 710]",319.0348077853856,139.20520781105742,83.52312129428765,"[3.531512295780929e-05, 1.7176638132048191e-06]",mock
27,57.64198393293748,715.8882291302829,1481.9228082431016,38,710,1475,79,723,1489,2863,0.0016358538996428251,2.750622131870345,316.9008810145914,13,14,4,6,9,"[42, 716, 1484]",317.12337270554684,119.92169337446374,129.14644000215975,"[0.0009426102977521238, 2.9152418084193105e-05]",mock
28,48.651162790697676,728.899434318039,286.9245757385292,38,723,283,60,736,292,1591,0.00012757920194417238,3.288067169700886,170.04437517856124,13,9,18,6,4,"[56, 729, 287]",318.27004315808017,120.35531219365416,83.32290637362925,"[4.347280789150112e-05, 2.3163498352741712e-06]",mock
29,47.63990825688074,453.9392201834862,288.91284403669727,42,448,285,55,461,294,872,0.0003857190313283354,2.6364145801198706,100.48076715096799,13,9,7,6,4,"[49, 454, 289]",318.39748627668985,120.40350540774054,83.35627090563017,"[5.19393779636073e-05, 2.6383651665628895e-06]",mock
30,61.69586573884568,840.9246827670896,790.9304134261155,44,835,787,81,848,796,2443,0.0003050567174796015,2.5281754200825604,285.9837218912166,13,9,5,6,3,"[49, 841, 790]",316.61392483303814,119.72904326786316,82.8893355896124,"[0.00013171979061064762, 6.216572384171107e-06]",mock
31,74.79080459770115,334.3919540229885,507.4011494252874,49,328,502,101,342,514,3480,0.0008847485878504813,3.5430463576158937,401.92306860387197,14,12,47,6,7,"[96, 334, 509]",314.9589983051883,128.26501254301863,109.941437710102,"[0.00043213618256388644, 1.5365767745859474e-05]",mock
