label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
1,147.11510791366908,821.115107913669,1453.390887290168,142,816,1451,152,828,1456,417,4.212887763977051,5.460386470348427,77.29289780843692,12,5,7,5,2,"[149, 821, 1453]",450.01414461217087,157.08458026210587,65.45190624569473,"[1.4808525705307636, 0.08805095488335074]",real
1,14.507816439737772,286.9510842158346,354.9465456379223,0,281,352,31,294,359,1983,9.547614172333851e-05,2.4226950354609924,239.60798320615444,13,7,3,6,3,"[3, 287, 355]",468.01637399133807,176.98259077274218,95.29831488289629,"[6.94568895693462e-05, 3.727807486660112e-06]",mock
2,11.317737430167599,447.2953910614525,1221.7513966480446,0,441,1218,24,454,1226,1432,0.0004252408689353615,2.4876988383489103,185.50295474024858,13,8,19,6,4,"[19, 447, 1222]",468.4240188603765,177.13674359526496,109.00722359954258,"[8.435794985316256e-05, 3.984604758835764e-06]",mock
3,19.641221374045802,484.21643466546925,1403.7588684328693,0,479,1400,40,492,1408,2227,0.0003438943240325898,3.0790052382951294,309.1715912337477,13,8,35,6,3,"[35, 485, 1403]",467.3371213004087,176.72572817623765,108.75429104147807,"[0.00010720318849531371, 5.189486815000348e-06]",mock
4,21.015391192817443,602.861479264643,1301.5955536554084,0,597,1297,42,609,1306,2339,0.0005103739094920456,3.049899192923328,324.63017079543505,12,9,37,6,4,"[37, 603, 1301]",467.06547460693025,163.03661765294348,122.27746106691643,"[0.00015115459751865296, 6.801598669889084e-06]",mock
5,6.58282208588957,681.2546012269938,163.18813905930472,0,675,160,15,688,168,978,0.00027252029394730926,2.930124945381956,115.93934671265538,13,8,10,6,3,"[10, 681, 163]",469.10358245737604,177.39372376236065,109.16536523614879,"[7.989554902760453e-05, 3.20919512744702e-06]",mock
6,18.991289782244557,808.9661641541038,47.9678391959799,0,801,44,40,818,53,2985,0.0012951692333444953,1.6905809415647968,309.1715912337477,17,9,2,6,3,"[2, 807, 47]",467.4729562992917,231.17005489563422,122.38413952953485,"[0.0009294786352676904, 2.7873854173377814e-05]",mock
7,5.790286975717439,900.0949227373069,456.8532008830022,0,894,453,14,907,461,906,0.0001248119951924309,2.822198336256976,108.21005693181168,13,8,8,6,4,"[8, 900, 457]",469.23951850507115,177.44512861748424,109.19699899221106,"[5.07154658979629e-05, 2.642103925313444e-06]",mock
8,16.70858113848768,462.92778249787597,51.960067969413764,8,457,48,26,470,57,1177,0.0001205156950163655,3.288067169700886,139.12721605518644,13,9,13,6,4,"[21, 463, 52]",467.74464960467947,176.8798369192459,122.45526867390086,"[8.095921329271347e-05, 4.250670120634639e-06]",mock
9,27.653003930376194,498.9410443571027,646.9382369455362,14,493,642,42,506,653,1781,0.0007715374231338501,2.4879342394956065,216.42011386362336,13,11,4,6,4,"[18, 499, 646]",466.2507209128292,176.31490076528496,149.18952939696916,"[0.00033953734806324, 1.3632851109790017e-05]",mock
10,21.734389561975767,703.9133271202237,507.9254426840634,14,697,504,30,712,513,1073,0.0005718471948057413,2.3924731182795695,123.66863649349908,15,9,4,6,4,"[18, 703, 508]",467.06547460693025,203.7957767221606,122.27746106691643,"[0.00020576911223830281, 9.491166261044513e-06]",mock
11,53.7120315581854,936.9521696252466,1506.9546351084812,18,930,1504,91,945,1511,4056,0.0005302115459926426,2.126915849838731,564.2381540015896,15,7,7,9,3,"[25, 939, 1507]",462.7233491302215,201.901166903493,94.2205398777273,"[0.001451151726417119, 7.060484757664644e-05]",mock
12,25.7124824684432,248.93408134642357,991.9382889200562,21,243,988,32,256,997,713,0.0001248538465006277,2.7556766575840146,85.02218758928062,13,9,4,6,4,"[25, 249, 992]",466.52227441846964,176.4175899993214,122.13525158343464,"[1.2892355165624995e-05, 7.059917427170059e-07]",mock
13,27.660569105691057,250.9258130081301,177.9491869918699,21,245,174,36,258,183,984,0.00010695224045775831,3.0928701533181164,115.93934671265538,13,9,3,6,4,"[24, 251, 178]",466.2507209128292,176.31490076528496,122.0641590385586,"[4.2921004331846565e-05, 2.3815182529673062e-06]",mock
14,34.70647773279352,625.9419703103914,687.9554655870445,23,620,685,47,633,692,1482,0.00012766530562657863,2.596854582222375,185.50295474024858,13,7,18,6,3,"[41, 626, 688]",465.30052814230453,175.95558090468518,94.74530958804438,"[4.193178244274462e-05, 2.022750180712239e-06]",mock
