label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
1,70.28636047320808,563.1200417536535,888.570633263744,54,555,882,88,573,896,2874,6.08917760848999,1.5331208591263839,262.7958525486855,18,14,4,9,9,"[58, 564, 891]",179.35281643907274,93.90892594208968,73.0402730957772,"[1.8088159236491337, 0.052048235511084194]",real
2,207.77101769911505,390.78761061946904,1562.9646017699115,201,384,1558,217,399,1569,904,4.225968360900879,2.3313920794956204,123.66863649349908,15,11,5,8,5,"[206, 392, 1563]",162.99216774352146,71.11875578659348,52.15375271364805,"[0.7662803584318978, 0.0325159912214372]",real
3,240.6650210716436,154.01468994581577,1157.7695364238411,213,141,1143,266,166,1168,8305,9.223742485046387,2.896664118877254,409.6523583847157,25,25,6,11,18,"[219, 152, 1161]",159.06919586190108,115.6784067869947,115.6784067869947,"[7.529669860119409, 0.08877234278466868]",real
4,249.26103404791928,865.3348045397225,1103.656683480454,226,856,1098,273,877,1111,3172,4.5025529861450195,2.261601862841399,363.2766196996535,21,13,8,12,4,"[234, 868, 1102]",158.00049572336633,96.51702479648442,59.748629813999806,"[1.88943405066216, 0.047065795210614596]",real
5,248.33726578764745,250.13115891741845,854.3164469118667,233,244,850,265,258,860,1441,4.287962913513184,1.626768264055956,247.33727298699816,14,10,26,6,4,"[259, 250, 854]",158.11921478707671,64.39302632117419,45.9950175554267,"[0.8154474633408632, 0.054679976162133145]",real
6,248.90418632075472,521.6252948113207,736.9301297169811,236,512,729,263,532,749,3392,7.170614719390869,2.568208390495386,208.69082408277967,20,20,17,10,9,"[253, 522, 738]",158.11921478707671,91.99004289467908,91.99004289467908,"[2.3950468375167806, 0.05685351304736072]",real
7,269.69131390874105,19.325728422210005,1242.6338647608577,257,8,1236,283,32,1250,3638,8.33591365814209,2.5817731420613157,200.96153430193598,24,14,5,8,7,"[262, 16, 1243]",155.62744671273146,108.64847434497781,63.37826990833949,"[3.5466983506604945, 0.07701228706368114]",real
8,272.64440172993756,135.14031715521384,876.7188851513695,260,125,873,288,145,883,2081,5.514204502105713,2.674314219133934,216.42011386362336,20,10,23,13,4,"[283, 138, 877]",155.2717080926651,90.33343042468583,45.166711390518,"[1.4284578994665522, 0.04775606343434134]",real
9,270.02708333333334,19.016666666666666,383.81354166666665,261,13,380,280,26,389,960,4.853745937347412,2.2684343962590705,146.85650583603015,13,9,3,6,4,"[264, 19, 384]",155.50886083622214,58.80640637462354,40.71212647962127,"[0.7451649449465857, 0.04463086591329998]",real
10,540.6864216054014,138.31132783195798,902.5446361590398,528,130,896,555,147,911,2666,3.6649227142333984,1.6179944359773633,208.69082408277967,17,15,20,6,7,"[548, 136, 903]",123.72084649555784,61.181196667559554,53.98340784984087,"[-0.03162944152067651, 0.006530108104023905]",real
11,641.938689217759,680.1568710359408,135.04270613107823,632,670,129,652,691,141,2365,6.052082061767578,3.2691032461558334,154.58579561687384,21,12,9,9,7,"[641, 679, 136]",111.9464876628882,68.38422801252281,39.07669844799409,"[1.8945077064685305, 0.04305162775500725]",real
1,2.265486725663717,214.6212389380531,271.72389380530973,0,208,268,7,223,277,565,0.0010320428991690278,2.864927797978226,54.10502846590584,15,9,1,7,4,"[1, 215, 272]",187.51822981873102,81.82027011873225,49.0921600773288,"[9.01057556081051e-05, 4.13623125934626e-06]",mock
2,6.007011393514461,219.92550394390886,1477.2059596844872,0,213,1473,14,228,1482,1141,0.0003068441874347627,2.8429679193290758,108.21005693181168,15,9,8,7,4,"[8, 220, 1477]",187.0370842194792,81.6103307281179,48.966196448076296,"[8.071506042546239e-05, 3.99637901846998e-06]",mock
3,10.480590486604703,464.8709677419355,150.0699835975943,0,458,146,23,472,155,1829,0.0002427314466331154,3.262979011594124,177.77366495940493,14,9,18,7,5,"[18, 465, 151]",186.55604218278515,75.9737401354209,48.84025993143929,"[0.00010513682775376153, 5.075876265422917e-06]",mock
4,14.804228660924041,728.716523101018,1015.7380579483164,0,722,1011,32,737,1021,2554,0.0005632470711134374,2.2713655544407563,247.33727298699816,15,10,26,6,4,"[26, 728, 1015]",186.07510367521493,81.19058749538392,54.127056421917246,"[0.00021116869949116198, 9.058775686868596e-06]",mock
5,10.712765957446809,65.85493230174082,1438.8650870406188,1,58,1432,22,75,1447,2068,0.003268956206738949,3.297298018840897,162.31508539771752,17,15,5,9,5,"[6, 67, 1437]",186.55604218278515,92.25382972720222,81.4004365251979,"[0.0014285613563669536, 3.38560586651154e-05]",mock
