gal_file,z_pos,x_pos,y_pos,orig_mass,new_mass,mos_name
data/mock_gals/g2_model747.fits,180,84,894,9.3387,9.51442445803385,1353mosE
data/mock_gals/g2_model487.fits,54,170,787,8.9896,9.156700598791444,1353mosE
data/mock_gals/g2_model956.fits,580,600,234,9.8994,10.087015016534664,1353mosE
data/mock_gals/g1_model501.fits,159,659,1098,9.007,9.187191042358643,1353mosE
data/mock_gals/g1_model335.fits,307,535,1039,8.8116,9.003859220424578,1353mosE
data/mock_gals/g1_model957.fits,119,460,1315,9.9009,10.07119732452191,1353mosE
data/mock_gals/g2_model842.fits,499,367,1193,9.536,9.724449910212357,1353mosE
data/mock_gals/g1_model266.fits,220,453,1465,8.7398,8.923586694092277,1353mosE
data/mock_gals/g2_model709.fits,606,112,1444,9.2699,9.458599843328924,1353mosE
data/mock_gals/g2_model833.fits,453,590,1389,9.5132,9.69738006387088,1353mosE
data/mock_gals/g2_model961.fits,170,911,752,9.9331,10.102073375930972,1353mosE
data/mock_gals/g1_model279.fits,428,567,794,8.7495,8.930309175643199,1353mosE
data/mock_gals/g2_model278.fits,605,614,23,8.7493,8.940296931360331,1353mosE
data/mock_gals/g2_model224.fits,596,167,605,8.6975,8.896867591717703,1353mosE
data/mock_gals/g1_model141.fits,562,119,632,8.6177,8.80800914942986,1353mosE
data/mock_gals/g1_model445.fits,310,476,64,8.9323,9.113904797513403,1353mosE
data/mock_gals/g2_model922.fits,410,629,172,9.7778,9.964935653051326,1353mosE
data/mock_gals/g1_model29.fits,488,763,1193,8.5269,8.727599043987857,1353mosE
data/mock_gals/g2_model538.fits,321,596,136,9.0532,9.23876664255664,1353mosE
data/mock_gals/g2_model910.fits,149,359,902,9.7406,9.907647905703488,1353mosE
data/mock_gals/g2_model85.fits,299,893,79,8.5692,8.74259807473554,1353mosE
data/mock_gals/g1_model125.fits,279,816,620,8.6048,8.777398936182854,1353mosE
data/mock_gals/g2_model1009.fits,388,127,1351,10.4261,10.60535527907602,1353mosE
data/mock_gals/g2_model756.fits,538,840,302,9.3498,9.545303906058596,1353mosE
data/mock_gals/g1_model614.fits,127,744,1058,9.1318,9.314919501550493,1353mosE
