,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type,mos_name,z_pos,x_pos,y_pos
0,1,52.02597402597402,440.1038961038961,1140.5584415584415,51,436,1138,54,445,1143,77,14.838319778442385,3.65171889668603,23.187869342531076,9,5,1,5,2,"[52, 441, 1140]",116.0195733814282,30.373854712954074,16.874363462888724,"[0.8535388706307132, 0.07782847640953006]",real,1245mosC,52,440,1140
1,2,180.02597402597405,440.3246753246753,1140.3636363636365,179,437,1138,182,445,1143,77,14.111279487609865,2.933399835879426,23.187869342531076,8,5,1,4,2,"[180, 441, 1140]",101.16025315543187,23.541060857486443,14.71316287408314,"[0.8648666671146084, 0.07841101219521679]",real,1245mosC,180,441,1140
2,3,285.50993377483445,321.42384105960264,118.21192052980132,283,317,114,289,325,124,151,13.188400268554688,1.847675447882674,46.37573868506215,8,10,3,3,4,"[286, 320, 118]",89.0457134215633,20.721879328776268,25.902349423980585,"[1.2547922905086828, 0.07249053008951814]",real,1245mosC,286,321,119
3,4,308.06666666666666,440.4666666666666,1140.3466666666666,307,437,1138,310,445,1143,75,15.052574157714846,2.623685181100135,23.187869342531076,8,5,1,4,2,"[308, 441, 1140]",86.40098639243341,20.10642337644166,12.566514472043446,"[0.8386221658900959, 0.07674786699194634]",real,1245mosC,308,441,1140
4,5,348.74850746268663,393.7044776119403,1084.4432835820896,339,387,1080,359,401,1091,1340,4.765259742736816,1.948873644124048,154.58579561687384,14,11,13,6,5,"[352, 393, 1085]",81.80907472512669,33.31621592720269,26.177026246196426,"[0.8133499608577356, 0.03559922709256194]",real,1245mosC,349,394,1085
5,6,352.9428879310345,532.9628232758621,1032.1433189655172,340,513,1023,364,550,1042,1856,12.103132247924805,3.927351453778878,185.50295474024855,37,19,14,22,9,"[354, 535, 1032]",81.3504143659567,87.5563782708519,44.96137065342766,"[4.071357607009007, 0.07340085712282407]",real,1245mosC,352,531,1032
6,7,358.73112319598414,380.5173603848567,1375.1895001045807,342,366,1363,376,395,1388,9562,9.427841186523438,1.5325639349673803,262.7958525486855,29,25,23,18,14,"[365, 384, 1377]",80.66260454665962,68.04503936181018,58.659513117472436,"[11.216614600573543, 0.24513237772028165]",real,1245mosC,359,380,1375
7,8,362.69738863287245,248.69585253456228,413.0253456221198,354,241,408,372,257,420,1302,4.888595581054688,2.386688254911892,139.12721605518644,16,12,7,8,5,"[361, 249, 413]",80.20418510246412,37.328726369818334,27.99654389295407,"[0.8543923982430588, 0.024131794317107755]",real,1245mosC,363,249,414
8,9,366.22349272349265,475.8247401247401,501.38024948024946,354,464,494,382,489,515,4810,10.124189376831056,2.264894488360227,216.42011386362338,25,21,8,11,6,"[362, 475, 500]",79.74586197111317,57.99283896979468,48.713982206479166,"[3.986027366755952, 0.10720416709048614]",real,1245mosC,368,476,504
9,10,372.0322580645162,440.01612903225805,1140.1129032258063,371,437,1138,374,444,1143,62,14.21276569366455,2.3398577640941656,23.187869342531076,7,5,1,4,2,"[372, 441, 1140]",79.05855779428454,16.098042191589695,11.498601487584006,"[0.7420675372546403, 0.07422300453450055]",real,1245mosC,372,440,1140
10,11,385.74939759036147,35.34397590361446,528.7710843373494,375,27,523,397,44,536,1660,5.191948890686035,2.7806250639625825,170.04437517856124,17,13,5,9,6,"[380, 36, 529]",77.57014143731162,38.359211185780005,29.333513443351322,"[1.347780135599927, 0.05758800555709743]",real,1245mosC,386,35,529
11,12,396.3360843649702,50.060522696011006,499.6648326455754,386,41,494,408,60,507,2181,5.5767178535461435,2.5844767344156065,170.04437517856124,19,13,15,10,8,"[401, 51, 502]",76.31150539659116,42.17642781538192,28.85755431092409,"[1.4706570581869447, 0.028657643891710122]",real,1245mosC,397,50,500
12,13,428.58402555910544,135.12087326943558,45.90234291799786,409,120,37,452,154,58,9390,8.136534690856934,3.3894951267495417,332.3594605762788,34,21,37,18,7,"[446, 138, 44]",72.65414683579063,71.85642289364094,44.3818993074234,"[8.299276217547567, 0.08821949846050096]",real,1245mosC,430,137,47
13,14,420.8894154818325,163.95892575039494,488.59399684044234,411,158,485,435,172,494,1266,4.835876941680908,1.9022115352101023,185.50295474024855,14,9,6,5,3,"[417, 163, 488]",73.5679109903127,29.960055361849605,19.260034965039694,"[0.8282456623116121, 0.03269209392397431]",real,1245mosC,423,165,489
14,15,437.224060940373,981.8406882059364,1369.084318360914,427,965,1355,449,1000,1382,7614,12.76142692565918,2.4526790673339325,170.04437517856124,35,27,14,16,12,"[441, 981, 1367]",71.626620259235,72.9237143709634,56.25542893041065,"[7.535625438992332, 0.07352058826859315]",real,1245mosC,438,982,1368
15,16,433.0,999.0,1372.0,433,999,1372,434,1000,1373,1,2.6286745071411133,,7.7292897808436924,1,1,0,0,0,"[433, 999, 1372]",72.0832388761149,2.096816474484008,2.096816474484008,"[0.0032055216489022985, 0.003205521648902298]",real,1245mosC,433,999,1372
16,17,435.95,440.8,1140.2,435,437,1138,438,445,1143,80,16.46670913696289,2.6189486313069503,23.187869342531076,8,5,1,4,2,"[436, 441, 1140]",71.85491759755439,16.721399317523087,10.450874458491533,"[0.9413134544225753, 0.0871610014290151]",real,1245mosC,436,441,1140
17,18,445.0282220131703,767.7497648165569,285.26434619002816,438,760,281,453,777,291,1063,5.619426727294922,2.998983207503392,115.93934671265538,17,10,6,8,4,"[444, 768, 285]",70.713670233087,34.96861756252844,20.569773940246762,"[0.9495790031951078, 0.04716980712094095]",real,1245mosC,445,768,286
18,19,456.1863979848865,157.02871536523932,481.1773299748111,443,149,469,467,166,488,1985,6.148350238800049,1.8134945967493452,185.50295474024855,17,19,18,8,11,"[461, 157, 480]",69.45898884524203,34.348165060632354,38.38912643560077,"[0.9898019166670221, 0.038754924226797216]",real,1245mosC,455,157,478
