,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,max_loc-0,max_loc-1,max_loc-2,elongation,detection_size,n_vel,nx,ny,mos_name,max_loc,dist,nx_kpc,ny_kpc,file,overlap_areas,area_gts,hi_mass,true_positive_mocks,type,area_gt,overlap_area,tot_flux,peak_flux
0,1,646.7808219178082,778.3424657534247,674.6849315068494,642,775,672,652,783,678,219,3.833710432052612,8,3,2,1.439371728573828,480,77.29289780843692,8,6,1245mosE,"[650, 778, 674]",176.2386192750584,41.01259073975296,30.759442811892352,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1778570640.5428112,True,mock,1011.0,219.0,0.2641364754000322,0.018200286424914218
1,2,640.3358734723221,194.72997843278216,387.4340762041697,627,183,376,652,208,399,6955,12.063474655151367,18,8,9,1.123813390916527,14375,193.23224452109227,25,23,1245mosE,"[645, 191, 385]",176.95689309578796,128.6867099087418,118.39176991033528,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,97455920652.85298,True,mock,4500.0,4111.0,14.360600052023889,0.10543664598637943
2,3,634.8423502036068,67.0023269342641,1368.7923211169284,613,62,1365,652,73,1374,1719,4.396280765533447,7,7,3,1.4208129344543536,3861,301.442301452904,11,9,1245mosE,"[620, 69, 1368]",177.67539835934593,56.85204950408149,46.51531270582043,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,31265926387.084526,True,mock,7643.0,2917.0,4.571470910969797,0.17035134181670475
3,4,629.1208997188379,245.01171508903468,1198.723992502343,616,236,1193,646,252,1206,2134,7.15394401550293,3,7,8,1.2675015126393132,6240,231.8786934253108,16,13,1245mosE,"[619, 243, 1201]",178.27432962296515,82.9726486311998,67.4152753585714,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,13184495749.052835,True,mock,2714.0,1994.0,1.9153219208746532,0.05689047554385648
4,5,621.4186220668996,514.2139291063405,186.49201198202692,602,507,178,641,522,197,4006,8.521978378295898,29,7,5,1.768215360602411,11115,301.442301452904,15,19,1245mosE,"[631, 514, 183]",179.23295427438433,78.20513635972713,99.0598431888476,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,45560334836.37148,True,mock,3296.0,2978.0,6.550790181843925,0.11777174262871726
5,6,615.62893081761,776.1308176100629,1365.824109014675,591,769,1356,640,784,1376,4770,8.36202621459961,7,6,14,1.6113225365372856,14700,378.7351992613409,15,20,1245mosE,"[598, 775, 1370]",179.9521931786867,78.51896356195067,104.6919565834571,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,33560405160.027298,True,mock,4099.0,3706.0,4.788455049318022,0.08323099203696001
6,7,606.5285061342314,226.26713976425307,245.5145537647342,573,216,236,640,237,256,8314,8.26506519317627,8,13,13,2.18678048187625,28140,517.8624153165273,21,20,1245mosE,"[581, 229, 249]",181.03148640046692,110.58585849281178,105.3198640133112,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,128586081711.80688,True,mock,7518.0,6743.0,18.137535539806102,0.19864918143366986
7,8,622.0118152524168,702.5042964554243,1025.2706766917292,612,696,1020,635,710,1032,1862,7.775450706481934,6,5,7,1.3188049565554716,3864,177.77366495940493,14,12,1245mosE,"[618, 701, 1027]",179.11310366254938,72.94265161979797,62.52227189997013,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,12293042294.668137,True,mock,1764.0,1462.0,1.7697985498635784,0.055897939351519425
8,9,615.9600463231036,691.624203821656,513.731325998842,603,685,508,629,698,520,1727,6.866194725036621,7,8,5,1.4963515119438813,4056,200.961534301936,13,12,1245mosE,"[610, 693, 513]",179.9521931786867,68.04976734551258,62.81516941446573,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,14256510804.303463,True,mock,2271.0,1618.0,2.034142937816318,0.06347208149781272
9,10,619.5,930.1305970149252,613.6902985074627,615,926,610,626,934,618,268,5.096023082733154,5,4,5,1.5408864691719966,704,85.02218758928062,8,8,1245mosE,"[620, 930, 615]",179.47267481502067,41.765189669747386,41.765189669747386,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1889203041.2306666,False,,,,0.27093875927480726,0.022284831013735983
10,11,608.6529486635553,14.91472210436996,94.90199406024608,594,9,88,625,23,102,2357,6.143538951873779,19,9,8,1.379806841544224,6076,239.60798320615444,14,14,1245mosE,"[613, 18, 96]",180.7915983493953,73.6262077119248,73.6262077119248,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,,True,mock,3245.0,2251.0,,
11,12,602.2721822541967,148.29696243005594,158.361310951239,587,142,152,620,156,165,2502,6.095545291900635,1,3,1,1.3050067711376674,6006,255.06656276784184,14,13,1245mosE,"[588, 145, 153]",181.5113398660255,73.9193177838868,68.63936599089045,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,,True,mock,3099.0,2098.0,,
12,13,607.0811287477954,861.7089947089947,567.7954144620811,600,857,565,619,867,572,567,5.018962383270264,2,2,4,2.15839329422657,1330,146.85650583603015,10,7,1245mosE,"[602, 859, 569]",180.9115391518881,52.62503630868298,36.83752488618087,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,4001852156.900413,False,,,,0.5651942190807655,0.02702892141230623
13,14,592.4226295382447,355.89531194924217,315.90447655974623,564,349,311,618,363,321,2837,4.37930154800415,6,8,6,1.997442507029669,7560,417.38164816555934,14,10,1245mosE,"[570, 357, 317]",182.7114250106212,74.40804468787289,53.14860190937024,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,19058560951.239273,True,mock,4507.0,2682.0,2.6410588289970613,0.09115052999279706
14,15,610.176,384.32,578.34,602,380,576,617,388,582,250,4.48944616317749,4,4,3,1.5202405035466864,720,115.93934671265538,8,6,1245mosE,"[606, 384, 579]",180.5517360805856,42.01629863922168,31.51222373054881,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,2248251799.2113757,True,mock,2299.0,250.0,0.3187431079167236,0.025705209194257537
15,16,593.5281954887218,173.8450590762621,1363.657626208378,573,165,1358,617,183,1372,3724,7.797073364257812,36,5,4,1.2430531693097535,11088,340.0887503571225,18,14,1245mosE,"[609, 170, 1362]",182.59138746225975,95.6046379605178,74.35916017360576,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,34805544141.00425,True,mock,4026.0,3253.0,4.829296614663009,0.1058602634141599
16,17,602.3155172413793,536.698275862069,101.6448275862069,594,533,98,614,541,106,580,3.811001777648926,4,4,3,1.6512733342260046,1280,154.58579561687384,8,8,1245mosE,"[598, 537, 101]",181.5113398660255,42.239608589597225,42.239608589597225,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,7833867543.8011465,True,mock,2679.0,570.0,1.0993971707257022,0.06571969883454927
17,18,601.059405940594,774.4009900990098,909.0544554455446,593,771,907,611,778,912,202,3.3983428478240967,3,5,3,1.6442093125571111,630,139.12721605518644,7,5,1245mosE,"[596, 776, 910]",181.63131935282632,36.98408779305207,26.417205387640404,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1070707488.3693184,True,mock,2263.0,202.0,0.15007163855926284,0.014330539613321243
18,19,584.7477744807121,214.57344213649853,714.6921364985163,564,210,711,611,220,719,1348,5.8423848152160645,6,3,3,1.5176151761517618,3760,363.2766196996535,10,8,1245mosE,"[570, 213, 714]",183.67195778114015,53.42800958099368,42.74240723079219,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,9185710305.843552,True,mock,3759.0,1276.0,1.2601818762898862,0.06480809215578377
19,20,593.9920031987206,556.6009596161535,115.3078768492603,579,550,109,609,564,123,2501,5.981456756591797,20,7,8,1.1440518329421987,5880,231.8786934253108,14,14,1245mosE,"[599, 557, 117]",182.59138746225975,74.35916017360576,74.35916017360576,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,39338447461.01111,True,mock,2519.0,2071.0,5.458240514210164,0.13101469330850643
20,21,577.5811865729898,815.8750975800156,317.4785323965652,557,810,311,603,822,324,2562,6.260812759399414,5,4,5,1.349281637515546,7176,355.54732991880985,12,13,1245mosE,"[562, 814, 316]",184.5127629939572,64.40710869851911,69.77436824873112,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,22013403587.53859,True,mock,3828.0,2426.0,2.993670950879715,0.09387707357136568
21,22,598.1111111111111,258.51851851851853,1077.601851851852,593,256,1075,603,262,1080,108,4.116053104400635,6,1,4,1.134219156878932,300,77.29289780843692,6,5,1245mosE,"[599, 257, 1079]",181.99129651053067,31.763474432019933,26.469561944559214,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1328995103.0782838,True,mock,1270.0,108.0,0.18556729482115003,0.018753494392924897
22,23,577.9328358208955,70.84660033167496,1366.6799336650083,565,66,1362,595,77,1372,1206,3.5395753383636475,4,7,7,1.6073697942768663,3300,231.8786934253108,11,10,1245mosE,"[569, 73, 1369]",184.5127629939572,59.03984925730449,53.672589916004135,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,20639044253.562157,False,,,,2.8067675673191324,0.12794092961261258
23,24,581.4289156626506,163.6144578313253,364.90361445783134,568,160,361,594,168,369,415,3.583646535873413,23,4,5,1.669493574554683,1664,200.961534301936,8,8,1245mosE,"[591, 164, 366]",184.03226411361624,42.82625432523475,42.82625432523475,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,4448964007.061163,False,,,,0.6080610921077606,0.04749544352462662
24,25,576.1599147121535,99.08315565031982,831.8837953091685,564,93,828,587,105,837,938,5.216954231262207,21,5,5,1.523537597881054,2484,177.77366495940493,12,9,1245mosE,"[585, 98, 833]",184.6329038669876,64.44904577724931,48.3367834740237,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,16995321097.045458,True,real,1374.0,938.0,2.308363639135336,0.12334797495811166
25,26,571.4769230769231,887.16,815.5292307692308,561,882,811,586,893,821,650,5.21331787109375,22,6,2,2.346722052122552,2750,193.23224452109227,11,10,1245mosE,"[583, 888, 813]",185.2337051758864,59.27053420859822,53.88230350684719,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,4349243336.79869,True,real,1043.0,650.0,0.5870614128284957,0.03288404304074929
26,27,575.923595505618,362.3662921348314,888.6179775280899,570,359,884,586,367,893,445,3.5023765563964844,6,5,6,1.500228247976201,1152,123.66863649349908,8,9,1245mosE,"[576, 364, 890]",184.7530512022401,42.99398910435311,48.36823797431832,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,3267006418.836175,False,,,,0.4431830679266665,0.021427804373231385
27,28,567.7786116322702,220.43058161350845,340.09803001876173,553,213,334,583,228,348,2132,4.374556064605713,8,6,6,1.0946004085325256,6300,231.8786934253108,15,14,1245mosE,"[561, 219, 340]",185.7144625867899,81.03322812131468,75.63101229459991,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,17226577938.571808,True,mock,2644.0,1852.0,2.31372038828915,0.06677330922476392
28,29,572.3998403830806,563.9193934557063,1245.0343176376696,564,557,1240,582,571,1251,1253,6.477864265441895,10,6,6,2.270819793787473,2772,139.12721605518644,14,11,1245mosE,"[574, 563, 1246]",185.1135319865354,75.38628719897194,59.232081546197385,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,8422887469.392292,True,real,1636.0,1253.0,1.1383378015845873,0.03242531508961891
29,30,573.4118705035971,412.76079136690646,481.9280575539568,566,408,479,582,418,486,556,3.375830888748169,13,3,4,1.612646426365984,1120,123.66863649349908,10,7,1245mosE,"[579, 411, 483]",184.99336526149196,53.812391456014346,37.668673477357,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,3181400558.5077405,False,,,,0.4304960586515876,0.02918367534826519
30,31,570.981684981685,866.8644688644689,462.1172161172161,564,864,460,578,871,466,273,3.891823053359986,12,1,1,1.7412060122578032,588,108.21005693181168,7,6,1245mosE,"[576, 865, 461]",185.3538848300651,37.7420831041919,32.35035682783143,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,2993991162.5854135,True,mock,1462.0,273.0,0.4036271280586459,0.030651057901880992
31,32,566.6115702479339,489.97520661157023,823.7190082644628,561,488,822,573,493,827,121,3.450794219970703,4,3,3,1.6556418111495772,300,92.75147737012428,5,5,1245mosE,"[565, 491, 825]",185.83466810550004,27.02855770127725,27.02855770127725,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1434207344.0942793,False,,,,0.1923911748962968,0.021099047810784026
32,33,553.6336565096952,35.96814404432133,1023.8961218836564,541,30,1019,568,43,1030,1444,4.452847480773926,24,6,2,1.1286986508614354,3861,208.69082408277967,13,11,1245mosE,"[565, 36, 1021]",187.39792857560363,70.86540716921468,59.96303602367657,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,42846894002.26318,True,mock,2543.0,1432.0,5.656141411416326,0.22619745219166992
33,34,543.2079094753686,711.5597211109841,897.3516973368385,521,699,885,567,726,910,8749,14.363033294677734,8,18,16,1.3286699909409745,31050,355.54732991880985,27,25,1245mosE,"[529, 717, 901]",188.6011811056572,148.12705529705428,137.15467680737373,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,83939715938.9245,True,mock,5907.0,5681.0,10.945684752354316,0.07935917206788674
34,35,561.7857142857143,584.5051020408164,1370.4183673469388,558,581,1368,567,589,1374,196,4.464960098266602,8,4,3,1.6,432,69.56360802759322,8,6,1245mosE,"[566, 585, 1371]",186.43579272105595,43.38558085374304,32.53918538332942,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1306500821.44319,False,,,,0.17417852722480875,0.015732914197568823
35,36,543.2840690978887,869.8474088291747,940.6679462571976,534,864,936,559,876,946,1042,3.95087194442749,6,7,5,1.87887559065078,3000,193.23224452109227,12,10,1245mosE,"[540, 871, 941]",188.6011811056572,65.83423593596599,54.86186259911725,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,4472353074.241321,True,real,1579.0,1042.0,0.5831919527519834,0.021594664325911908
36,37,552.1404682274248,367.5117056856187,855.061872909699,546,363,851,559,373,860,598,4.147404193878174,6,7,4,1.1771933929950018,1170,100.480767150968,10,9,1245mosE,"[552, 370, 855]",187.51822468595876,54.54684332961944,49.0921587335721,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,3277425202.700406,True,mock,1116.0,559.0,0.4321153398130083,0.01816839833052501
