label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
1,52.02597402597402,440.1038961038961,1140.5584415584415,51,436,1138,54,445,1143,77,14.838319778442383,3.65171889668603,23.187869342531073,9,5,1,5,2,"[52, 441, 1140]",116.01957338142819,30.373854712954074,16.874363462888724,"[0.8535388706307132, 0.07782847640953006]",real
2,180.02597402597402,440.3246753246753,1140.3636363636363,179,437,1138,182,445,1143,77,14.111279487609863,2.933399835879426,23.187869342531073,8,5,1,4,2,"[180, 441, 1140]",101.16025315543189,23.541060857486436,14.713162874083139,"[0.8648666671146084, 0.07841101219521679]",real
3,285.50993377483445,321.42384105960264,118.21192052980132,283,317,114,289,325,124,151,13.188400268554688,1.847675447882674,46.375738685062146,8,10,3,3,4,"[286, 320, 118]",89.0457134215633,20.721879328776268,25.902349423980585,"[1.2547922905086828, 0.07249053008951814]",real
4,308.06666666666666,440.46666666666664,1140.3466666666666,307,437,1138,310,445,1143,75,15.052574157714844,2.623685181100135,23.187869342531073,8,5,1,4,2,"[308, 441, 1140]",86.4009863924334,20.10642337644166,12.566514472043446,"[0.8386221658900959, 0.07674786699194634]",real
5,348.7485074626866,393.7044776119403,1084.4432835820896,339,387,1080,359,401,1091,1340,4.765259742736816,1.9488736441240482,154.58579561687384,14,11,13,6,5,"[352, 393, 1085]",81.80907472512668,33.31621592720269,26.177026246196426,"[0.8133499608577356, 0.03559922709256194]",real
6,352.9428879310345,532.9628232758621,1032.1433189655172,340,513,1023,364,550,1042,1856,12.103132247924805,3.927351453778878,185.50295474024858,37,19,14,22,9,"[354, 535, 1032]",81.35041436595668,87.5563782708519,44.96137065342766,"[4.071357607009007, 0.07340085712282407]",real
7,358.7311231959841,380.5173603848567,1375.1895001045807,342,366,1363,376,395,1388,9562,9.427841186523438,1.5325639349673803,262.7958525486855,29,25,23,18,14,"[365, 384, 1377]",80.66260454665962,68.04503936181018,58.65951311747244,"[11.216614600573543, 0.24513237772028165]",real
8,362.6973886328725,248.69585253456222,413.0253456221198,354,241,408,372,257,420,1302,4.8885955810546875,2.386688254911892,139.12721605518644,16,12,7,8,5,"[361, 249, 413]",80.20418510246412,37.328726369818334,27.99654389295407,"[0.8543923982430588, 0.024131794317107755]",real
9,366.2234927234927,475.8247401247401,501.38024948024946,354,464,494,382,489,515,4810,10.124189376831055,2.264894488360227,216.42011386362336,25,21,8,11,6,"[362, 475, 500]",79.74586197111317,57.99283896979469,48.713982206479166,"[3.986027366755952, 0.10720416709048614]",real
10,372.03225806451616,440.01612903225805,1140.1129032258063,371,437,1138,374,444,1143,62,14.21276569366455,2.3398577640941656,23.187869342531073,7,5,1,4,2,"[372, 441, 1140]",79.05855779428454,16.098042191589695,11.498601487584004,"[0.7420675372546403, 0.07422300453450055]",real
11,385.74939759036147,35.34397590361446,528.7710843373494,375,27,523,397,44,536,1660,5.191948890686035,2.7806250639625825,170.04437517856124,17,13,5,9,6,"[380, 36, 529]",77.57014143731163,38.35921118578001,29.333513443351322,"[1.347780135599927, 0.05758800555709743]",real
12,396.3360843649702,50.060522696011006,499.6648326455754,386,41,494,408,60,507,2181,5.576717853546143,2.5844767344156065,170.04437517856124,19,13,15,10,8,"[401, 51, 502]",76.31150539659116,42.17642781538192,28.857554310924094,"[1.4706570581869447, 0.028657643891710122]",real
13,428.58402555910544,135.12087326943558,45.90234291799787,409,120,37,452,154,58,9390,8.136534690856934,3.3894951267495417,332.35946057627876,34,21,37,18,7,"[446, 138, 44]",72.65414683579063,71.85642289364093,44.381899307423396,"[8.299276217547567, 0.08821949846050096]",real
14,420.88941548183254,163.95892575039494,488.59399684044234,411,158,485,435,172,494,1266,4.835876941680908,1.9022115352101026,185.50295474024858,14,9,6,5,3,"[417, 163, 488]",73.5679109903127,29.960055361849598,19.26003496503969,"[0.8282456623116121, 0.03269209392397431]",real
15,437.224060940373,981.8406882059364,1369.084318360914,427,965,1355,449,1000,1382,7614,12.76142692565918,2.4526790673339325,170.04437517856124,35,27,14,16,12,"[441, 981, 1367]",71.626620259235,72.9237143709634,56.255428930410666,"[7.535625438992332, 0.07352058826859315]",real
16,433.0,999.0,1372.0,433,999,1372,434,1000,1373,1,2.6286745071411133,,7.7292897808436924,1,1,0,0,0,"[433, 999, 1372]",72.0832388761149,2.096816474484008,2.096816474484008,"[0.0032055216489022985, 0.003205521648902298]",real
17,435.95,440.8,1140.2,435,437,1138,438,445,1143,80,16.46670913696289,2.61894863130695,23.187869342531073,8,5,1,4,2,"[436, 441, 1140]",71.85491759755439,16.721399317523083,10.450874458491532,"[0.9413134544225753, 0.0871610014290151]",real
18,445.02822201317025,767.7497648165569,285.2643461900282,438,760,281,453,777,291,1063,5.619426727294922,2.9989832075033918,115.93934671265538,17,10,6,8,4,"[444, 768, 285]",70.713670233087,34.968617562528436,20.56977394024676,"[0.9495790031951078, 0.04716980712094095]",real
19,456.18639798488664,157.0287153652393,481.1773299748111,443,149,469,467,166,488,1985,6.148350238800049,1.8134945967493454,185.50295474024858,17,19,18,8,11,"[461, 157, 480]",69.45898884524203,34.348165060632354,38.38912643560077,"[0.9898019166670221, 0.038754924226797216]",real
20,459.56289387446435,743.3361482228385,221.55192840937735,445,710,209,475,762,236,7934,21.35099220275879,1.4878577134876005,231.87869342531076,52,27,7,36,8,"[452, 746, 217]",69.11692851742568,104.54763979513515,54.28432119270627,"[15.589515978043444, 0.1496893662296808]",real
21,447.5,139.0,49.0,446,139,49,450,140,50,4,-0.8901386857032776,,30.91715912337477,1,1,0,0,0,"[446, 139, 49]",70.4854925395157,2.0503399163706106,2.0503399163706106,"[-0.008260380178917198, -0.008260380178917196]",real
22,481.4913940319971,639.7336868596082,625.0275031457846,454,599,590,521,681,656,44504,20.840618133544922,13.863669215864567,517.8624153165273,82,66,57,46,50,"[511, 645, 640]",66.61012808516841,158.8843320423573,127.88242574290926,"[71.07408998208912, 0.362454888739587]",real
23,458.0,161.0,472.0,458,161,472,459,162,473,1,0.3852101266384125,,7.7292897808436924,1,1,0,0,0,"[458, 161, 472]",69.23094265229328,2.0138465385395863,2.0138465385395863,"[0.00031355663273737854, 0.00031355663273737854]",real
24,464.6179775280899,637.9213483146067,641.0674157303371,460,636,639,470,641,644,89,2.063236951828003,1.2111801242236027,77.29289780843692,5,5,9,3,2,"[469, 639, 641]",68.54694744036843,9.969749686783997,9.969749686783997,"[-0.06539726247583873, 0.0]",real
25,479.3666666666667,654.9641975308642,565.5246913580247,470,644,559,491,666,574,1620,4.852235317230225,4.314936349316478,162.31508539771752,22,15,11,10,7,"[481, 654, 566]",66.83789968934754,42.77319207978932,29.16353792395326,"[0.9279257391254272, 0.03813824973982526]",real
26,486.90403514857206,536.9961845300035,467.2602613018846,474,521,452,499,555,482,8649,8.605123519897461,2.9894070708061022,193.23224452109227,34,30,17,13,17,"[491, 534, 469]",66.0408034270898,65.3156923034032,57.63148904756627,"[5.378022263700071, 0.045436514072972646]",real
27,490.8912367930391,692.5104619846695,791.2707685933292,479,680,783,503,706,802,4827,12.24300479888916,2.7664225457249856,185.50295474024858,26,19,17,12,7,"[496, 692, 790]",65.58545100358477,49.60289998618571,36.24826984628618,"[4.624848799859865, 0.1286446995865232]",real
28,497.7080673244341,11.398723157283808,547.8554846198491,488,2,541,508,22,553,1723,8.134784698486328,3.2795438380500417,154.58579561687384,20,12,13,8,8,"[501, 10, 549]",64.78881367544723,37.69260906794531,22.615563807796278,"[1.4002426262675984, 0.054484655484931525]",real
29,501.4539748953975,201.9581589958159,725.2092050209205,497,193,718,507,211,732,478,8.259986877441406,7.440545624674232,77.29289780843692,18,14,6,9,8,"[503, 202, 726]",64.33372338676539,33.685062688485694,26.199492256280205,"[0.4742411142723328, 0.024459146419997718]",real
30,511.20953924519563,14.839546191247974,707.4093540171336,498,5,697,530,26,716,4319,9.65119743347168,1.8257617737007712,247.33727298699816,21,19,10,8,11,"[508, 13, 708]",63.19641438678619,38.60449846371148,34.92787877428395,"[3.8858689890937734, 0.13016186618202583]",real
31,508.40253748558246,976.040369088812,1094.441753171857,498,970,1090,518,982,1100,867,5.038348197937012,1.6211125465512939,154.58579561687384,12,10,15,6,4,"[513, 976, 1094]",63.53754459651099,22.178788474369714,18.482323499269498,"[0.6544979566806481, 0.038915507813301366]",real
32,512.4847104749512,341.93754066363044,927.8770331815224,503,334,922,525,350,933,1537,5.825765132904053,2.4981613102281384,170.04437517856124,16,11,7,7,6,"[510, 341, 928]",63.08271621636061,29.36003213918422,20.185021327100404,"[0.9673263032546037, 0.044753813682265386]",real
33,525.0762481089258,642.2786686838124,637.2590015128593,503,635,626,542,651,646,3305,2.6057772636413574,1.7383074594368912,301.44230145290396,16,20,19,8,17,"[522, 643, 643]",61.60518118657706,28.67235604400104,35.84044651068478,"[9.781370395066702, 0.3054209652851214]",real
34,504.0,7.0,544.0,504,7,544,505,8,545,1,-2.041555404663086,,7.7292897808436924,1,1,0,0,0,"[504, 7, 544]",63.99246818996253,1.8614654895601335,1.8614654895601335,"[-0.0020697310195530215, -0.0020697310195530215]",real
35,513.4160170092133,331.5690999291283,631.6009922041105,504,325,626,524,340,638,1411,7.46286153793335,2.242466201324933,154.58579561687384,15,12,4,5,4,"[508, 330, 630]",62.96902399489753,27.475422295506363,21.9803373342355,"[1.1680073379801599, 0.0461176135482029]",real
36,511.41478809738504,686.5599639314698,966.0622182146078,504,678,961,522,695,973,1109,5.024487495422363,2.94937132033071,139.12721605518644,17,12,11,10,6,"[515, 688, 967]",63.19641438678619,31.25125932129295,22.059711559897337,"[0.7623383956297294, 0.029535651026851618]",real
37,564.0526315789474,440.42105263157896,1140.328947368421,563,437,1138,566,445,1143,76,12.916114807128906,2.890534448720691,23.187869342531073,8,5,1,4,2,"[564, 441, 1140]",57.178598102520446,13.30606454304741,8.316290247924822,"[0.7633620517732373, 0.05999686470912016]",real
38,575.5820633059789,910.5668229777257,1474.7051582649472,568,902,1468,584,920,1482,1706,9.864190101623535,2.3488268954750264,123.66863649349908,18,14,8,8,6,"[576, 910, 1474]",55.93170516800688,29.28577572809655,22.7778247439538,"[1.4484428305195443, 0.05830000037455436]",real
39,628.3333333333334,119.03799654576856,1312.2417962003453,625,112,1308,632,127,1318,579,16.834028244018555,2.3339030221196797,54.10502846590584,15,10,3,8,5,"[628, 120, 1313]",49.933977021559734,21.78780960099741,14.525205888554833,"[0.5620387938621754, 0.043708291858851375]",real
40,628.0089285714286,440.30357142857144,1140.3214285714287,627,436,1138,630,446,1145,112,17.18187713623047,2.750891913351921,23.187869342531073,10,7,1,5,2,"[628, 441, 1140]",49.933977021559734,14.525205888554833,10.167643975729744,"[1.1416916139596538, 0.10203448109736954]",real
1,8.04932502596054,121.22326064382139,611.018691588785,0,114,606,18,130,617,1926,0.0007564797415398061,1.8139704803700878,139.12721605518644,16,11,13,8,5,"[13, 122, 611]",121.150756548361,56.386127917298694,38.76546146706329,"[0.00022059864796373686, 9.627306495412662e-06]",mock
2,20.84097091441724,154.95710399665202,828.9661016949152,0,145,821,44,166,838,4779,0.002838752930983901,2.5394043963660864,340.0887503571225,21,17,38,12,10,"[38, 157, 831]",119.75015611892152,73.15121851104138,59.21765054158236,"[0.0017220412026730351, 3.9972806631468626e-05]",mock
3,11.549295774647888,233.05453232213796,1248.6522210184182,0,225,1243,26,242,1255,2769,0.0013118039350956678,1.935330875182611,200.96153430193598,17,12,20,9,5,"[20, 234, 1248]",120.80052290072238,59.73706742621172,42.16733998807217,"[0.0004943698979041549, 1.6842850639238995e-05]",mock
4,8.156959526159921,281.70483711747283,1051.139684106614,0,273,1045,18,291,1058,2026,0.0023618934210389853,1.632218390847308,139.12721605518644,18,13,13,10,7,"[13, 283, 1052]",121.150756548361,63.43439512360852,45.81372780859912,"[0.0007682740265308313, 2.7070129512501435e-05]",mock
5,11.42548435171386,288.1661698956781,425.55029806259313,0,280,420,25,297,432,2684,0.001516293385066092,1.7870948843060934,193.23224452109227,17,12,19,7,5,"[19, 287, 425]",120.80052290072238,59.73706742621172,42.16733998807217,"[0.0005878508470195019, 2.2144624439020887e-05]",mock
