gal_file,z_pos,x_pos,y_pos,orig_mass,new_mass,mos_name
data/mock_gals/g1_model554.fits,10,44,451,9.067,9.241147499867214,1245mosE
data/mock_gals/g1_model1008.fits,544,712,898,10.3896,10.57910052049924,1245mosE
data/mock_gals/g1_model138.fits,462,830,255,8.6167,8.808966128217365,1245mosE
data/mock_gals/g2_model279.fits,483,375,1236,8.7495,8.922448617215196,1245mosE
data/mock_gals/g2_model517.fits,312,465,1475,9.0304,9.210082151387716,1245mosE
data/mock_gals/g2_model977.fits,616,776,1366,9.9956,10.18667847314345,1245mosE
data/mock_gals/g1_model5.fits,598,197,25,8.5049,8.68309684471103,1245mosE
data/mock_gals/g1_model436.fits,514,846,1352,8.9204,9.117220033066278,1245mosE
data/mock_gals/g2_model156.fits,454,176,1332,8.6325,8.796246308188788,1245mosE
data/mock_gals/g2_model924.fits,609,69,1368,9.7869,9.9815036916271,1245mosE
data/mock_gals/g1_model607.fits,546,6,1465,9.1202,9.306138700692367,1245mosE
data/mock_gals/g1_model588.fits,380,649,415,9.1036,9.284946536555811,1245mosE
data/mock_gals/g1_model71.fits,304,206,292,8.5566,8.733701223242207,1245mosE
data/mock_gals/g2_model712.fits,137,777,1088,9.2733,9.44712977796498,1245mosE
data/mock_gals/g2_model842.fits,368,78,857,9.536,9.717689742219632,1245mosE
data/mock_gals/g1_model940.fits,237,254,1209,9.8379,10.019435100896965,1245mosE
data/mock_gals/g1_model408.fits,593,361,893,8.8923,9.089889402965182,1245mosE
data/mock_gals/g2_model388.fits,48,223,1445,8.8681,9.047217921757913,1245mosE
data/mock_gals/g1_model327.fits,245,885,142,8.8082,9.00112402757129,1245mosE
data/mock_gals/g2_model640.fits,544,875,540,9.1721,9.366823122013407,1245mosE
data/mock_gals/g2_model598.fits,157,1,617,9.1122,9.28325197256039,1245mosE
data/mock_gals/g1_model514.fits,73,5,1406,9.0261,9.198654569110277,1245mosE
data/mock_gals/g2_model940.fits,68,878,590,9.8379,10.007691524519174,1245mosE
data/mock_gals/g2_model547.fits,350,523,261,9.0604,9.250114459976178,1245mosE
data/mock_gals/g2_model578.fits,66,182,1205,9.0977,9.264571481047218,1245mosE
data/mock_gals/g1_model63.fits,364,684,702,8.5526,8.734529611575848,1245mosE
data/mock_gals/g1_model337.fits,540,316,528,8.8128,9.000577542205322,1245mosE
data/mock_gals/g2_model963.fits,390,293,283,9.9366,10.12183532929267,1245mosE
data/mock_gals/g1_model519.fits,552,489,1128,9.0319,9.229181131394995,1245mosE
