label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
1,6.462998102466793,206.47817836812143,654.6214421252372,0,201,650,15,213,660,1054,4.533698081970215,1.769061393361898,115.93934671265538,12,10,8,6,6,"[8, 207, 656]",395.23545432554573,137.96320891410474,114.96933933494529,"[0.6611428588354951, 0.03486313872833094]",real
2,52.69258545979778,930.2611940298508,571.676215695715,36,923,561,71,939,580,4154,4.5631866455078125,1.8907654167944337,270.5251423295292,16,19,6,4,8,"[42, 927, 569]",389.1833076344799,181.13415378298,215.09681398750712,"[1.5074829777965788, 0.04122305794304018]",real
3,63.2224025974026,915.7175324675325,637.1883116883117,57,911,633,70,923,642,616,4.056793689727783,2.2947716639928952,100.48076715096799,12,9,7,3,4,"[64, 914, 637]",387.73837457537644,135.3462342259828,101.50967386572609,"[0.4075308832772383, 0.014105055546499332]",real
4,70.0985401459854,594.4963503649635,321.31021897810217,64,590,317,78,600,326,548,4.005438327789307,1.5797078727573992,108.21005693181168,10,9,2,2,6,"[66, 592, 323]",386.8193369826548,112.52118990885519,101.26907037526765,"[0.45324792135497544, 0.019838771810155694]",real
5,104.81114808652246,243.19550748752079,336.4600665557404,90,235,333,120,250,341,1202,3.072909116744995,1.740791268758527,231.87869342531076,15,8,4,8,2,"[94, 243, 335]",382.3605800208994,166.83629090519557,88.97935110883496,"[0.6924176532143407, 0.02380121751695756]",real
6,117.48544698544698,67.51403326403326,429.12629937629936,103,61,424,134,74,435,1924,5.56445837020874,1.5531135044836786,239.60798320615444,13,11,29,10,5,"[132, 71, 429]",380.65801062912055,143.947615219092,121.80182661328806,"[1.2467725409498085, 0.04105840949491582]",real
7,117.51932773109243,775.272268907563,771.964705882353,110,770,769,125,782,776,595,4.234793663024902,2.4425614869118744,115.93934671265538,12,7,14,3,3,"[124, 773, 772]",380.65801062912055,132.8747208037568,77.51025172530011,"[0.36252517408253304, 0.02082472882508104]",real
8,168.47667087011348,678.2679697351829,522.7219419924338,154,673,518,185,685,528,1586,5.252202033996582,1.4911484636837962,239.60798320615444,12,10,20,6,6,"[174, 679, 524]",373.99068360831075,130.54738447650266,108.78948571363765,"[1.0748934269444745, 0.04374165793492517]",real
9,163.37555886736214,715.0625931445603,903.7570789865872,156,710,899,171,721,909,671,5.720460891723633,2.155645302353539,115.93934671265538,11,10,12,5,5,"[168, 715, 904]",374.64350007950156,119.87732128127695,108.9793823374814,"[0.5127572909871583, 0.028006366529388416]",real
10,158.0,778.0,976.0,158,778,976,159,779,977,1,2.2381432056427,,7.7292897808436924,1,1,0,0,0,"[158, 778, 976]",375.2964996096946,10.916932916266902,10.916932916266902,"[0.002011526609634907, 0.0020115266096349064]",real
11,168.83211678832117,47.32664233576642,1033.6751824817518,160,39,1028,180,56,1040,1644,6.889475345611572,3.4449647573062134,154.58579561687384,17,12,11,7,6,"[171, 46, 1034]",373.99068360831075,184.94213557208928,130.54738447650266,"[1.118285791891337, 0.043638870789268376]",real
12,163.0731707317073,778.4146341463414,976.0975609756098,160,775,974,166,782,980,41,2.8037164211273193,11.889246388720549,46.375738685062146,7,6,2,4,1,"[162, 779, 975]",374.64350007950156,76.28556653889102,65.38762822215034,"[0.01594265190279275, 0.0053791209938173845]",real
13,171.79744136460553,22.83084577114428,1049.506041222459,163,15,1045,184,34,1056,1407,3.9395196437835693,2.0238493704646747,162.31508539771752,19,11,7,11,4,"[170, 26, 1049]",373.5990815618979,206.48360445123964,119.54313132693284,"[0.7764927750917485, 0.0359651766272343]",real
14,176.66329966329965,816.9685746352413,1075.3703703703704,163,813,1071,190,823,1081,891,4.652410984039307,1.6513746715388056,208.69082408277967,10,10,1,4,2,"[164, 817, 1073]",372.9465578250394,108.48576181900339,108.48576181900339,"[0.6211337047307394, 0.03154728174407818]",real
15,172.80769230769232,39.61713286713287,1319.9458041958042,164,36,1317,184,44,1325,572,4.202237606048584,1.500228247976201,154.58579561687384,8,8,6,4,3,"[170, 40, 1320]",373.4685621821172,86.91008450896796,86.91008450896796,"[0.52279337308599, 0.03125843952698262]",real
