gal_file,z_pos,x_pos,y_pos,orig_mass,new_mass,mos_name
data/mock_gals/g2_model86.fits,233,195,1378,8.5693,8.782253731874448,1353mosD
data/mock_gals/g1_model843.fits,187,190,1440,9.5363,9.732967736854446,1353mosD
data/mock_gals/g2_model338.fits,180,839,537,8.8136,9.01376245960342,1353mosD
data/mock_gals/g1_model640.fits,551,225,1162,9.1721,9.387962877246926,1353mosD
data/mock_gals/g1_model253.fits,311,54,1346,8.7303,8.926734523981587,1353mosD
data/mock_gals/g1_model470.fits,246,501,1115,8.9678,9.172019352639857,1353mosD
data/mock_gals/g2_model646.fits,150,43,997,9.1802,9.376800927548251,1353mosD
data/mock_gals/g2_model951.fits,418,393,1308,9.878,10.085171624617871,1353mosD
data/mock_gals/g2_model696.fits,588,714,756,9.2472,9.45789695480507,1353mosD
data/mock_gals/g1_model279.fits,620,313,1266,8.7495,8.959463290558539,1353mosD
data/mock_gals/g1_model671.fits,346,162,537,9.2159,9.426309466698955,1353mosD
data/mock_gals/g2_model969.fits,134,828,141,9.9553,10.146084452633286,1353mosD
data/mock_gals/g1_model369.fits,432,493,571,8.8505,9.060371448802629,1353mosD
data/mock_gals/g1_model334.fits,637,8,1194,8.8114,9.033781716135264,1353mosD
data/mock_gals/g2_model544.fits,160,602,720,9.0584,9.259956898922061,1353mosD
data/mock_gals/g1_model817.fits,235,468,685,9.4873,9.684007280741769,1353mosD
data/mock_gals/g1_model191.fits,620,233,882,8.6622,8.883958493388548,1353mosD
data/mock_gals/g1_model707.fits,188,148,808,9.2682,9.47204748396615,1353mosD
data/mock_gals/g1_model31.fits,37,757,155,8.5285,8.710905685385214,1353mosD
data/mock_gals/g1_model551.fits,336,109,173,9.0633,9.26531034888753,1353mosD
data/mock_gals/g1_model227.fits,624,774,943,8.6995,8.925863392393074,1353mosD
data/mock_gals/g1_model228.fits,441,113,415,8.7002,8.918384660144078,1353mosD
data/mock_gals/g1_model943.fits,313,280,1447,9.8411,10.047159450719125,1353mosD
data/mock_gals/g2_model978.fits,542,31,829,9.9982,10.212689648090048,1353mosD
data/mock_gals/g1_model742.fits,524,451,1202,9.3324,9.542889503350512,1353mosD
data/mock_gals/g2_model133.fits,534,14,911,8.6131,8.806462360326138,1353mosD
data/mock_gals/g1_model145.fits,53,57,142,8.6203,8.796241993111583,1353mosD
data/mock_gals/g2_model128.fits,354,293,477,8.6061,8.822586287574016,1353mosD
data/mock_gals/g1_model13.fits,146,776,936,8.5106,8.729953582153101,1353mosD
data/mock_gals/g2_model365.fits,416,563,16,8.8457,9.056951647550497,1353mosD
data/mock_gals/g2_model41.fits,606,285,618,8.5374,8.765992998181112,1353mosD
data/mock_gals/g2_model32.fits,184,722,27,8.5299,8.710357060959193,1353mosD
data/mock_gals/g2_model981.fits,92,208,814,10.025,10.21563958737709,1353mosD
data/mock_gals/g1_model631.fits,257,206,622,9.1556,9.354418728634661,1353mosD
data/mock_gals/g1_model419.fits,386,247,1205,8.9012,9.110414091363094,1353mosD
data/mock_gals/g1_model125.fits,537,586,637,8.6048,8.802157936376302,1353mosD
data/mock_gals/g2_model276.fits,421,280,26,8.7474,8.944618546911398,1353mosD
data/mock_gals/g2_model311.fits,273,43,813,8.7955,9.01025833390702,1353mosD
data/mock_gals/g2_model423.fits,149,158,1373,8.9055,9.115551301264208,1353mosD
data/mock_gals/g1_model487.fits,530,791,327,8.9896,9.210620074458017,1353mosD
data/mock_gals/g2_model257.fits,281,208,690,8.7326,8.935794210275828,1353mosD
data/mock_gals/g1_model720.fits,368,525,786,9.2863,9.488689771395736,1353mosD
data/mock_gals/g2_model289.fits,70,884,376,8.7621,8.98420368033012,1353mosD
data/mock_gals/g2_model787.fits,87,644,294,9.4154,9.60892393725091,1353mosD
data/mock_gals/g2_model53.fits,599,732,887,8.547,8.773145234186794,1353mosD
data/mock_gals/g2_model390.fits,172,738,92,8.871,9.075968982917846,1353mosD
data/mock_gals/g2_model837.fits,225,577,1236,9.5197,9.713247459912695,1353mosD
