gal_file,z_pos,x_pos,y_pos,orig_mass,new_mass,mos_name
data/mock_gals/g2_model422.fits,188,241,605,8.905,9.050428845949995,1353mosG
data/mock_gals/g1_model727.fits,613,607,413,9.3015,9.447585240288191,1353mosG
data/mock_gals/g2_model83.fits,512,712,180,8.5671,8.734730556030662,1353mosG
data/mock_gals/g1_model333.fits,408,550,1072,8.811,8.957834616994436,1353mosG
data/mock_gals/g1_model983.fits,618,18,59,10.0358,10.179020485998757,1353mosG
data/mock_gals/g2_model949.fits,634,449,1130,9.8645,10.016153449227055,1353mosG
data/mock_gals/g2_model781.fits,475,125,1005,9.4067,9.555746738529946,1353mosG
data/mock_gals/g1_model964.fits,443,322,1433,9.9368,10.077340988768585,1353mosG
data/mock_gals/g2_model577.fits,488,741,1347,9.0965,9.2439773873084,1353mosG
data/mock_gals/g2_model931.fits,624,393,588,9.7998,9.942569829167178,1353mosG
data/mock_gals/g1_model305.fits,155,176,893,8.7869,8.925943051987876,1353mosG
data/mock_gals/g1_model284.fits,392,787,109,8.753,8.880291654638707,1353mosG
data/mock_gals/g2_model285.fits,243,702,1218,8.76,8.913559217857925,1353mosG
data/mock_gals/g1_model741.fits,623,127,1537,9.3319,9.47659232540238,1353mosG
data/mock_gals/g1_model530.fits,256,707,229,9.0462,9.182945488529736,1353mosG
data/mock_gals/g2_model680.fits,187,745,723,9.2282,9.364139023377437,1353mosG
data/mock_gals/g2_model952.fits,605,909,723,9.8819,10.028702367762321,1353mosG
data/mock_gals/g2_model316.fits,627,439,36,8.8006,8.95178721217253,1353mosG
data/mock_gals/g2_model216.fits,519,176,751,8.6869,8.839266571712203,1353mosG
data/mock_gals/g2_model777.fits,65,903,1211,9.3989,9.531036638365604,1353mosG
data/mock_gals/g1_model764.fits,412,926,68,9.3611,9.493299612597786,1353mosG
data/mock_gals/g1_model536.fits,107,746,96,9.0515,9.177258550291278,1353mosG
data/mock_gals/g1_model844.fits,228,251,17,9.5382,9.677009302198954,1353mosG
data/mock_gals/g2_model57.fits,605,200,694,8.5479,8.68500241319345,1353mosG
data/mock_gals/g1_model566.fits,377,299,645,9.0872,9.229281447008582,1353mosG
data/mock_gals/g1_model320.fits,475,839,883,8.8041,8.952962688257447,1353mosG
data/mock_gals/g1_model2.fits,526,521,1303,8.5021,8.623943193159928,1353mosG
data/mock_gals/g1_model283.fits,338,231,1451,8.7516,8.898596538642929,1353mosG
data/mock_gals/g2_model28.fits,624,115,814,8.5266,8.678712833100944,1353mosG
data/mock_gals/g2_model32.fits,49,147,133,8.5299,8.628945987201043,1353mosG
data/mock_gals/g1_model892.fits,538,101,548,9.6856,9.826044340691576,1353mosG
data/mock_gals/g2_model37.fits,204,572,219,8.5336,8.638319921359203,1353mosG
data/mock_gals/g1_model489.fits,218,662,276,8.992,9.123998413022044,1353mosG
data/mock_gals/g1_model633.fits,319,655,1441,9.1582,9.287591886490791,1353mosG
data/mock_gals/g1_model602.fits,608,325,164,9.1148,9.263265985671609,1353mosG
data/mock_gals/g1_model541.fits,347,576,328,9.0567,9.192762437306904,1353mosG
data/mock_gals/g1_model113.fits,311,501,452,8.5957,8.74411266513527,1353mosG
data/mock_gals/g1_model555.fits,567,193,271,9.0724,9.221353528972418,1353mosG
data/mock_gals/g1_model772.fits,559,841,392,9.3772,9.52499687469092,1353mosG
data/mock_gals/g2_model540.fits,403,160,298,9.0547,9.194764484105791,1353mosG
data/mock_gals/g1_model28.fits,108,115,1007,8.5266,8.63545262022956,1353mosG
data/mock_gals/g1_model895.fits,132,445,135,9.6954,9.825279536139407,1353mosG
data/mock_gals/g2_model390.fits,512,91,485,8.871,9.02606543905885,1353mosG
data/mock_gals/g1_model665.fits,258,832,914,9.2025,9.335806006269413,1353mosG
data/mock_gals/g1_model569.fits,305,132,706,9.0888,9.218373807968721,1353mosG
data/mock_gals/g2_model897.fits,648,730,127,9.6972,9.846481889040566,1353mosG
data/mock_gals/g2_model998.fits,184,238,1329,10.2021,10.336912023694124,1353mosG
data/mock_gals/g2_model321.fits,507,325,858,8.8046,8.959126651484716,1353mosG
data/mock_gals/g1_model907.fits,184,827,804,9.735,9.870057308700881,1353mosG
data/mock_gals/g2_model629.fits,436,480,1,9.1537,9.289536808014509,1353mosG
data/mock_gals/g2_model300.fits,20,32,22,8.7812,8.931453503564127,1353mosG
data/mock_gals/g1_model650.fits,244,682,560,9.183,9.317953645700959,1353mosG
data/mock_gals/g2_model968.fits,361,853,1192,9.9549,10.085816786658404,1353mosG
data/mock_gals/g2_model527.fits,249,827,1486,9.042,9.180522167317747,1353mosG
data/mock_gals/g2_model543.fits,388,539,702,9.0576,9.201861917531446,1353mosG
data/mock_gals/g1_model62.fits,377,786,61,8.5516,8.719385026572049,1353mosG
data/mock_gals/g2_model959.fits,82,391,651,9.9118,10.036641008575053,1353mosG
data/mock_gals/g1_model581.fits,143,575,1302,9.0991,9.226071145739708,1353mosG
data/mock_gals/g2_model864.fits,211,53,1433,9.598,9.725777084111346,1353mosG
data/mock_gals/g1_model657.fits,59,270,330,9.1898,9.311248484578329,1353mosG
data/mock_gals/g1_model199.fits,128,296,1209,8.6727,8.785084408629341,1353mosG
data/mock_gals/g2_model690.fits,412,904,344,9.2409,9.374193559142121,1353mosG
data/mock_gals/g1_model402.fits,279,399,1372,8.8858,9.040468736805007,1353mosG
data/mock_gals/g2_model967.fits,121,387,54,9.9532,10.084819731379682,1353mosG
data/mock_gals/g1_model595.fits,638,384,348,9.1101,9.260107727859403,1353mosG
data/mock_gals/g1_model913.fits,517,479,1471,9.7515,9.89809849555853,1353mosG
