label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
1,279.28205128205127,240.1655420602789,117.38191632928475,267,233,112,300,248,123,2223,11.78866195678711,2.3269721006295767,255.06656276784182,15,11,14,6,5,"[281, 239, 117]",432.54934542072306,188.7352729183516,138.40586274685822,"[13.636308453924542, 0.8395322149084072]",real
1,5.6049528301886795,237.10377358490567,5.1745283018867925,0,231,2,13,244,10,848,0.00014205672778189182,2.963589355768198,100.48076715096799,13,8,8,6,3,"[8, 237, 5]",469.51141394337606,177.54794715496425,109.26027193647874,"[3.0459220238276104e-05, 1.6658115511459907e-06]",mock
2,14.097574421168687,533.9051819184124,268.9669239250276,0,528,266,29,540,273,1814,2.9354343496379443e-05,2.5543478260869565,224.14940364446707,12,7,25,6,3,"[25, 534, 269]",468.2881294738772,163.46340474148107,95.35365021085781,"[1.308170560174792e-05, 6.995196502175374e-07]",mock
3,7.913078797725427,539.9471974004874,513.9699431356621,0,534,510,18,547,519,1231,0.00024340594245586544,3.085799663349985,139.12721605518644,13,9,3,6,4,"[3, 540, 514]",469.2395185143516,177.44512862099367,122.84662445770485,"[0.00010269660251545488, 6.1267004889076155e-06]",mock
4,3.2065972222222223,737.6197916666666,849.4236111111111,0,732,846,8,745,854,576,0.0005437613581307232,2.325301204819277,61.83431824674954,13,8,3,6,3,"[3, 738, 849]",469.78334048836234,177.650777455582,109.3235521196002,"[6.644120556854595e-05, 3.2827217126450333e-06]",mock
5,3.6834645669291337,901.7889763779527,457.9763779527559,0,896,455,9,909,462,635,0.0001336476270807907,3.033854166666668,69.56360802759322,13,7,5,6,3,"[5, 902, 458]",469.78334048836234,177.650777455582,95.65810769994005,"[2.2865731161779446e-05, 9.587355203483085e-07]",mock
6,23.665332666333168,68.95797898949475,937.9514757378689,8,63,934,40,76,943,1999,0.00018611947598401457,2.5543478260869565,247.33727298699816,13,9,4,6,3,"[12, 69, 937]",467.0654746162021,176.6230037062887,122.2774610693438,"[9.513050423017163e-05, 4.7103066437441185e-06]",mock
7,15.74216380182002,805.9352881698685,1132.9373104145602,9,800,1129,24,813,1137,989,0.00024326637503691018,3.262979011594125,115.93934671265538,13,8,10,6,4,"[19, 806, 1133]",468.1522478510865,177.03397211120154,108.9439796112227,"[4.452340146754487e-05, 2.1469637422141904e-06]",mock
8,19.738396624472575,380.89535864978905,811.9535864978903,11,375,808,29,388,816,1185,4.842373891733587e-05,3.142972257396109,139.12721605518644,13,8,14,6,4,"[25, 381, 812]",467.6087990764342,176.82846440370406,108.8175133334312,"[9.95554273581991e-06, 5.335139922921427e-07]",mock
9,42.7237998647735,857.9438810006761,1027.9540229885058,17,851,1024,70,866,1033,2958,0.0005622668541036546,2.421620737626358,409.6523583847157,15,9,48,8,5,"[65, 859, 1029]",464.4863797889495,202.67043421613866,121.60225559072718,"[0.0002362746059821006, 1.1379169713329794e-05]",mock
10,30.751435132032146,14.925947187141217,5.929965556831228,18,9,2,45,22,11,1742,0.0002737261529546231,2.4226950354609924,208.69082408277967,13,9,22,6,3,"[40, 15, 5]",466.11495581409457,176.263560555314,122.02861581715321,"[0.00021310622288795076, 9.80389983951846e-06]",mock
11,27.699526813880126,933.9211356466877,591.9668769716088,18,928,588,38,941,596,1268,5.379823051043786e-05,2.5799793601651193,154.58579561687384,13,8,4,6,4,"[22, 934, 592]",466.52227442773864,176.4175900028265,108.56466755576393,"[1.824550488647673e-05, 9.70365925914176e-07]",mock
12,28.67360454115421,727.9678334910122,881.9801324503311,21,722,878,37,735,887,1057,0.00026115842047147453,3.3703971610653936,123.66863649349908,13,9,4,6,4,"[25, 728, 882]",466.38649379309066,176.3662439178769,122.09970429716306,"[5.527453254713349e-05, 3.2208994920964248e-06]",mock
13,30.754601226993866,391.9488752556237,127.94580777096114,24,386,124,39,399,133,978,0.00017622117593418807,3.3262570648324403,115.93934671265538,13,9,10,6,4,"[34, 392, 128]",466.11495581409457,176.263560555314,122.02861581715321,"[3.9661283532039886e-05, 1.9998985920490094e-06]",mock
14,38.69178440607012,480.9591836734694,473.9424385138671,24,475,470,54,488,479,1911,0.00023100771068129689,2.4879342394956057,231.87869342531076,13,9,26,5,3,"[50, 480, 473]",465.0291143378023,175.8529444992906,121.744343170039,"[0.0001247287541431245, 5.394605384112085e-06]",mock
15,33.73802541544477,811.9169110459433,758.9266862170088,26,806,755,42,819,763,1023,0.00022005576465744525,3.3703971610653936,123.66863649349908,13,8,11,6,4,"[37, 812, 759]",465.7077070613614,176.10955752603323,108.3751091141204,"[4.739404322062416e-05, 2.044696004958189e-06]",mock
16,38.70124481327801,99.94439834024897,850.9352697095436,30,93,847,48,107,856,1205,0.0003775231016334146,2.797836269907687,139.12721605518644,14,9,3,6,4,"[33, 99, 851]",465.0291143378023,189.38009551837112,121.744343170039,"[9.985123411528814e-05, 4.864727793680845e-06]",mock
17,60.71587244715156,244.9233249731279,485.9437477606593,37,238,483,85,252,490,2791,0.00025055158766917884,2.6620597609001657,371.00590948049717,14,7,44,6,3,"[81, 244, 486]",462.0456090645156,188.16508231551137,94.08253725692244,"[0.00010574891153116381, 4.532822159020709e-06]",mock
18,43.70556309362279,439.9918588873813,995.9226594301222,38,434,992,50,447,1001,737,0.00011058241216233,2.7556766575840146,92.75147737012429,13,9,6,6,4,"[44, 440, 996]",464.35071553924894,175.59640480620004,121.56673877153843,"[1.2153514180197091e-05, 6.628061768960021e-07]",mock
19,54.65459742734635,897.9623630300143,1300.9480705097665,38,892,1297,72,905,1306,2099,0.00017903873231261969,2.5543478260869565,262.7958525486855,13,9,4,6,3,"[42, 898, 1300]",462.85892038892536,175.03227546099177,121.17618769608798,"[7.132455222336735e-05, 3.518894833809188e-06]",mock
20,50.69528501055595,688.9429978888107,1010.9676284306826,40,683,1008,63,696,1015,1421,8.149708446580917e-05,2.6569635336933946,177.77366495940493,13,7,5,6,3,"[45, 689, 1011]",463.40128285704037,175.23737237656823,94.35858193214763,"[2.3323230626746192e-05, 1.2207747142214496e-06]",mock
21,74.56991321118612,3.6342012214721953,1272.0646094503375,41,0,1267,106,11,1278,3111,0.0008752349531278014,1.8005073049682085,502.40383575484003,11,11,58,4,6,"[99, 4, 1273]",460.14896632734167,147.23710797588816,147.23710797588816,"[0.0006837464847082706, 2.9074819682249935e-05]",mock
22,59.72857142857143,179.97783251231527,1229.9724137931034,43,174,1227,77,187,1234,2030,2.8848669899161905e-05,2.5543478260869565,262.7958525486855,13,7,29,6,3,"[72, 180, 1230]",462.18114159208136,174.77597022446065,94.11013462788338,"[1.1745436294202596e-05, 6.101698058892946e-07]",mock
23,54.69703872437358,78.94229309035687,702.9711465451784,45,73,700,66,86,707,1317,8.22547372081317e-05,2.5799793601651193,162.31508539771752,13,7,4,6,3,"[49, 79, 703]",462.85892038892536,175.03227546099177,94.24814513519051,"[2.079760727302203e-05, 9.650282295930477e-07]",mock
24,62.648208469055376,121.95579339227548,158.9274080967892,45,116,155,81,129,164,2149,0.00029828122933395207,2.5543478260869565,278.2544321103729,13,9,31,6,3,"[76, 122, 158]",461.7745672358764,174.62222222139562,120.89230469110603,"[0.00015232337058507952, 8.048005049585426e-06]",mock
25,50.67049808429119,667.9680715197957,320.95657726692207,45,662,317,57,675,326,783,0.00010656044469214976,3.210144927536232,92.75147737012429,13,9,4,6,4,"[49, 668, 321]",463.40128285704037,175.23737237656823,121.31817786488584,"[2.5812001115658723e-05, 1.3238171735775696e-06]",mock
26,55.69721115537848,917.8988047808765,887.9593625498007,46,912,884,66,925,892,1255,5.375451291911304e-05,3.0119684619527782,154.58579561687384,13,8,14,6,4,"[60, 918, 888]",462.7233491394763,174.98100855603892,107.68061746084554,"[1.2832595039434133e-05, 5.850323213987069e-07]",mock
27,53.72776572668113,277.98264642082427,1061.941431670282,47,272,1058,61,285,1067,922,0.0010540873045101762,2.564983991668551,108.21005693181168,13,9,9,6,5,"[56, 278, 1063]",462.9944993847425,175.08354529527008,121.21168219586121,"[0.00022059049776766728, 9.414522225020323e-06]",mock
28,59.6450635978195,897.9594185342216,1478.9497274379164,47,892,1476,74,905,1483,1651,3.9683458453509957e-05,2.4226950354609924,208.69082408277967,13,7,3,6,3,"[50, 898, 1479]",462.18114159208136,174.77597022446065,94.11013462788338,"[1.4596160413444505e-05, 7.10378253005339e-07]",mock
29,52.73701298701299,34.95779220779221,1509.9107142857142,48,29,1506,58,42,1515,616,0.0004339906445238739,2.3931725887335746,77.29289780843692,13,9,4,6,4,"[52, 35, 1510]",463.1300861275913,175.13481805912488,121.24717872380269,"[5.244177429241194e-05, 2.6240992983538842e-06]",mock
30,71.80030899961375,253.94399382000773,569.9266125917343,51,248,566,94,261,575,2589,0.00028593227034434676,2.380866414241232,332.35946057627876,13,9,37,7,4,"[88, 255, 570]",460.55526211283154,174.16113626028147,120.57309134133472,"[0.00012227076289075386, 7.17142530616651e-06]",mock
31,63.69500924214418,165.9547134935305,341.92051756007396,56,160,338,73,173,346,1082,0.00031702450360171497,2.642857142857143,131.39792627434275,13,8,4,5,4,"[60, 165, 342]",461.6390579334773,174.57097874201077,107.42829142891638,"[8.045213842233358e-05, 4.241395005193017e-06]",mock
32,70.72029871011542,459.9253224711473,92.96469789545147,59,454,90,83,467,97,1473,3.795503289438784e-05,2.8178316496775975,185.50295474024858,13,7,19,6,3,"[78, 460, 93]",460.6907095106306,174.21235633015095,93.80665023352692,"[1.5039676956001336e-05, 7.472539392287329e-07]",mock
33,69.70444763271162,260.95265423242466,1360.9383070301292,65,255,1357,76,268,1366,697,0.0001246197643922642,3.0363262508567512,85.02218758928062,13,9,5,6,4,"[70, 261, 1361]",460.8261646441829,174.26357932533188,120.64401346153237,"[1.654276360631849e-05, 9.020819165413198e-07]",mock
34,87.71270207852194,57.47713625866051,28.415242494226327,71,52,25,106,64,33,2165,3.128835669485852e-05,3.06508493353028,270.5251423295292,12,8,3,5,3,"[74, 57, 28]",458.3891552702484,160.00801066905134,106.67200470572652,"[2.3891677371689825e-05, 1.0578844861839352e-06]",mock
35,79.69962686567165,322.46828358208955,575.4626865671642,72,316,572,88,330,580,1072,7.96196618466638e-05,2.325301204819277,123.66863649349908,14,8,5,7,3,"[77, 323, 575]",459.47196133812463,187.1169809445927,106.92398513030656,"[1.4203087413552031e-05, 6.908782215831102e-07]",mock
36,83.75254928619987,56.41468388851122,231.42216179469747,73,50,228,95,63,236,1471,5.6064196542138234e-05,2.5008400834462168,170.04437517856124,13,8,18,7,3,"[91, 57, 231]",458.9304964870145,173.54672350501124,106.79798053250678,"[2.1247467202819186e-05, 9.54730316218586e-07]",mock
37,81.71428571428571,264.47305389221555,742.4396920444825,73,258,739,91,272,747,1169,0.0003940858878195286,2.4749749331550803,139.12721605518644,14,8,13,7,3,"[86, 265, 742]",459.20121345562967,187.00672062267435,106.86097923441328,"[8.748862405577324e-05, 4.521426789117038e-06]",mock
