,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,hi_mass,asymmetry,mos_name
0,1,60.693315858453474,881.9184141546527,269.944626474443,36,875,266,86,889,274,3052,1497.69384765625,1497.69384765625,5.786759376525879,"[75, 884, 269]",2.380866414241232,461.7745672266255,14,8,386.4644890421845,188.05470228216183,107.45982587468193,data/training/TargetBoth/mask_1245mosH.fits,2900028830186.581,,1245mosH
1,2,61.79147747118407,1562.9441145651415,1820.9469088368844,42,1556,1816,83,1571,1827,2863,4480.7392578125,4480.7392578125,13.042195320129396,"[45, 1561, 1822]",2.675604005981604,461.6390579242264,15,11,316.9008810145914,201.42805557214325,147.71390308660105,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
2,3,78.69757575757576,1543.940606060606,1471.9533333333334,50,1537,1469,108,1552,1476,3300,1274.3192138671875,1274.3192138671875,3.007777690887451,"[102, 1543, 1472]",2.182133315826492,459.3365835230689,15,7,448.2988072889341,200.4234115029971,93.53092072506286,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
3,4,59.7262313860252,750.9644902634593,2064.916380297824,54,745,2061,67,758,2070,873,250.62661743164065,250.62661743164065,1.6870721578598022,"[63, 752, 2065]",2.7556766575840146,461.9100842700824,13,9,100.480767150968,174.67346862459956,120.92778296936665,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
4,5,60.7144495412844,1310.97247706422,214.95871559633028,54,1305,211,68,1318,220,872,35.91204071044922,35.91204071044922,1.063393235206604,"[59, 1310, 215]",3.210144927536232,461.7745672266255,13,9,108.21005693181168,174.62222221789733,120.89230468868416,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
5,6,67.78401585204756,505.9577278731836,298.93857331572,56,500,295,80,513,303,1514,449.5460815429688,449.5460815429688,3.338883638381958,"[75, 507, 299]",2.3742462625253298,460.8261646349358,13,8,185.50295474024855,174.26357932183507,107.23912256056444,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
6,7,72.70575578267886,375.9230769230769,1462.957504034427,58,370,1460,88,383,1467,1859,55.97959899902344,55.97959899902344,1.151034593582153,"[67, 372, 1463]",2.3742462625253298,460.1489663180964,13,7,231.8786934253108,174.00749359654503,93.69633953454968,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
7,8,76.75126171593367,91.9185291997116,71.93294881038211,67,86,68,88,99,77,1387,252.6368103027344,252.6368103027344,15.69804859161377,"[75, 90, 69]",2.670048323886994,459.6073468644893,13,9,162.31508539771752,173.80267765539574,120.32492769795805,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
8,9,82.71496437054631,786.9269596199525,2269.935273159145,71,780,2266,95,795,2275,1684,1289.839111328125,1289.839111328125,20.8210506439209,"[75, 785, 2271]",1.8420688066534607,458.7951495845177,15,9,185.50295474024855,200.18716635954345,120.11229493728575,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
9,10,77.69363538295578,1335.9697950377565,963.9719525350594,71,1330,960,86,1343,968,927,-25.70891571044922,-25.70891571044922,3.84436559677124,"[72, 1331, 963]",3.0363262508567512,459.4719613288823,13,8,115.93934671265538,173.75148097900484,106.92398512815576,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
