,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,hi_mass,asymmetry,overlap_area,area_gt,mos_name
0,1,0.6978723404255319,18.76595744680851,829.2382978723405,0,10,823,5,25,837,235,68.25774383544922,68.25774383544922,6.607452869415283,"[0, 22, 833]",13.770778772204167,1050,469.9193154217287,15,14,38.64644890421846,205.0409997949701,191.37159824330652,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,24776231021606.38,,,,1245mosH
1,2,0.8596491228070176,295.9298245614035,881.9122807017544,0,293,880,3,300,884,57,195.68910217285156,195.68910217285156,5.83278751373291,"[1, 294, 881]",3.2220690221448636,84,469.9193154217287,7,4,23.187869342531073,95.68579515434601,54.677596722129195,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,142062665161006.5,,,,1245mosH
2,3,0.8085106382978723,349.6170212765957,1098.2978723404256,0,346,1097,3,354,1100,47,142.22450256347656,142.22450256347656,7.414182662963867,"[0, 349, 1097]",8.313752090883904,72,469.9193154217287,8,3,23.187869342531073,109.35519492476946,41.008197460631436,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,154874166506509.1,,,,1245mosH
3,4,3.308108108108108,1420.0864864864866,2269.3135135135135,0,1416,2268,11,1425,2272,185,247.15597534179688,247.15597534179688,6.62428092956543,"[7, 1419, 2268]",2.5520008713989375,396,469.5114139340946,9,4,85.02218758928062,122.91780651548781,54.63013522754645,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,358259224746872.7,,,,1245mosH
4,5,11.524528301886793,72.56792452830189,209.76792452830188,1,68,205,19,78,216,530,1550.47314453125,1550.47314453125,37.27561569213867,"[16, 72, 209]",1.6793493213269222,1980,468.4240188603765,10,11,139.12721605518644,136.2590308829908,149.8849348590759,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,2796958108102624.0,,,,1245mosH
5,6,12.93939393939394,159.4743351886209,183.92207792207793,1,155,146,20,165,216,1617,5611.2373046875,5611.2373046875,10.905341148376465,"[15, 162, 146]",189.27257011977125,13300,468.28812946460056,10,70,146.85650583603015,136.21950225800535,953.5378067586176,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1.214009248024961e+16,,,,1245mosH
6,7,1.0,525.0,2317.5,1,524,2317,2,527,2319,6,21.607017517089844,21.607017517089844,11.132796287536621,"[1, 524, 2317]",2.6666666666666665,6,469.78334047908004,3,2,7.7292897808436924,40.996331408067014,27.330887566834193,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,54870286805096.945,,,,1245mosH
7,8,6.563025210084033,24.831932773109244,1712.5966386554621,2,23,1710,11,28,1716,119,136.1199188232422,136.1199188232422,3.8078818321228027,"[4, 23, 1713]",1.908060470680827,270,469.10358245737604,5,6,69.56360802759322,68.22835252207605,81.87402328051236,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,393967573752806.25,,,,1245mosH
8,9,59.733230054221536,21.03714949651433,826.7992254066615,6,5,809,116,34,851,32275,1701.0692138671875,1701.0692138671875,13.816901206970215,"[110, 8, 833]",4.775574274455318,133980,461.9100842700824,29,42,850.221875892806,389.6562730948466,564.329921741954,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,5378344307628301.0,,,,1245mosH
9,10,7.083333333333333,89.83333333333333,372.5833333333333,6,89,371,9,92,375,12,70.04315948486328,70.04315948486328,7.882933139801025,"[8, 91, 371]",,36,468.9676541866689,3,4,23.187869342531073,40.92514934883391,54.56686590618053,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,253265016601780.44,,,,1245mosH
10,11,15.039453717754173,66.13201820940819,305.8907435508346,7,63,295,21,70,325,659,2679.826171875,2679.826171875,8.506168365478516,"[16, 66, 310]",53.74666337456973,2940,467.88050791251646,7,30,108.21005693181168,95.27064959364365,408.3028819765856,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1.0611878917968724e+16,,,,1245mosH
11,12,15.164634146341463,248.9329268292683,307.5579268292683,8,247,296,21,252,315,328,1432.299560546875,1432.299560546875,7.9029717445373535,"[16, 248, 310]",29.628818100451632,1235,467.88050791251646,5,19,100.48076715096799,68.05046353480736,258.5917859389782,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,6187398266921549.0,,,,1245mosH
12,13,10.0,90.0,372.2857142857143,10,89,371,11,92,375,7,47.55384826660156,47.55384826660156,8.375273704528809,"[10, 91, 371]",7.388463383744716,12,468.5599160298036,3,4,7.7292897808436924,40.88956748126594,54.51942341599624,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,223161980612282.4,,,,1245mosH
13,14,15.92156862745098,139.78039215686275,200.25098039215686,10,138,193,20,143,210,255,674.0791015625,674.0791015625,7.946691036224365,"[16, 142, 197]",33.23020589121034,850,467.88050791251646,5,17,77.29289780843692,68.05046353480736,231.37159324674613,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,3397283940060886.5,,,,1245mosH
14,15,15.818877551020408,293.0637755102041,320.1734693877551,10,290,316,21,298,329,392,867.789306640625,867.789306640625,8.046096801757812,"[16, 297, 318]",3.1427624689314038,1144,467.88050791251646,8,13,85.02218758928062,108.88074285338801,176.93121237667685,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,4685959721720240.0,,,,1245mosH
15,16,15.03076923076923,61.292307692307695,343.9923076923077,12,60,334,18,64,354,130,367.9866638183594,367.9866638183594,5.26002311706543,"[16, 61, 351]",44.47179007842929,480,467.88050791251646,4,20,46.375738685062146,54.440370689650166,272.20188293000786,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,2119556657242476.5,,,,1245mosH
16,17,14.381578947368421,90.40789473684211,371.2763157894737,12,89,368,19,93,378,76,625.001708984375,625.001708984375,12.194437980651855,"[16, 91, 368]",5.208043062292826,280,468.01637399133807,4,10,54.10502846590584,54.456179426218824,136.14045179105028,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,3827038781366253.0,,,,1245mosH
17,18,12.0,243.0,351.5,12,243,351,13,244,353,2,8.915215492248535,8.915215492248535,4.966586589813232,"[12, 243, 352]",inf,2,468.28812946460056,1,2,7.7292897808436924,13.62194984543121,27.24389971391511,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,57865063156868.33,,,,1245mosH
18,19,15.162790697674419,367.9767441860465,351.16279069767444,12,367,349,19,370,354,43,253.69065856933594,253.69065856933594,8.56417179107666,"[17, 368, 350]",2.7176470691505155,105,467.88050791251646,3,5,54.10502846590584,40.83027793662345,68.05046353480736,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1735206112103923.2,,,,1245mosH
