filename,mass
g1_model64,8.5534
g1_model341,8.8188
g1_model462,8.96
g1_model21,8.5161
g1_model790,9.4172
g1_model136,8.6149
g1_model727,9.3015
g1_model671,9.2159
g1_model152,8.6258
g1_model636,9.1588
g1_model345,8.8224
g1_model847,9.5474
g1_model8,8.5072
g1_model819,9.4885
g1_model930,9.7996
g1_model248,8.7219
g1_model52,8.5469
g1_model53,8.547
g1_model313,8.799
g1_model382,8.8625
g1_model217,8.687
g1_model974,9.9761
g1_model170,8.6434
g1_model836,9.5193
g1_model991,10.1084
g1_model705,9.2629
g1_model860,9.5808
g1_model269,8.742
g1_model498,9.0025
g1_model736,9.3176
g1_model741,9.3319
g1_model908,9.7372
g1_model216,8.6869
g1_model168,8.6406
g1_model159,8.6337
g1_model279,8.7495
g1_model284,8.753
g1_model536,9.0515
g1_model409,8.8941
g1_model787,9.4154
g1_model193,8.6637
g1_model1,8.5014
g1_model749,9.3399
g1_model792,9.4196
g1_model953,9.8897
g1_model561,9.0833
g1_model442,8.929
g1_model236,8.71
g1_model812,9.4738
g1_model418,8.8991
g1_model632,9.1578
g1_model356,8.8372
g1_model202,8.677
g1_model440,8.9212
g1_model363,8.8424
g1_model453,8.9469
g1_model449,8.9384
g1_model995,10.1563
g1_model950,9.8747
g1_model264,8.7367
g1_model491,8.994
g1_model151,8.6257
g1_model643,9.1754
g1_model948,9.8582
g1_model962,9.9356
g1_model373,8.8559
g1_model921,9.7736
g1_model352,8.8309
g1_model729,9.3025
g1_model675,9.2228
g1_model293,8.767
g1_model268,8.7405
g1_model271,8.7436
g1_model272,8.7443
g1_model657,9.1898
g1_model23,8.5176
g1_model907,9.735
g1_model635,9.1586
g1_model633,9.1582
g1_model931,9.7998
g1_model47,8.5435
g1_model637,9.1588
g1_model945,9.8479
g1_model209,8.6821
g1_model74,8.5577
g1_model435,8.9197
g1_model825,9.5015
g1_model109,8.5932
g1_model227,8.6995
g1_model294,8.7678
g1_model841,9.5342
g1_model638,9.1593
g1_model106,8.5902
g1_model34,8.5324
g1_model471,8.9687
g1_model681,9.2292
g1_model678,9.227
g1_model115,8.5974
g1_model389,8.8683
g1_model454,8.947
g1_model367,8.8468
g1_model310,8.7945
g1_model340,8.8188
g1_model620,9.1385
g1_model676,9.2261
g1_model321,8.8046
g1_model273,8.7458
g1_model427,8.9084
g1_model866,9.6023
g1_model16,8.5117
g1_model88,8.5735
g1_model426,8.9063
g1_model899,9.7034
g1_model184,8.658
g1_model90,8.5746
g1_model667,9.2112
g1_model311,8.7955
g1_model337,8.8128
g1_model843,9.5363
g1_model564,9.0845
g1_model530,9.0462
g1_model277,8.7492
g1_model444,8.9322
g1_model305,8.7869
g1_model407,8.8891
g1_model852,9.5534
g1_model523,9.0379
g1_model589,9.1042
g1_model623,9.14
g1_model185,8.6581
g1_model969,9.9553
g1_model914,9.7522
g1_model973,9.9718
g1_model611,9.1295
g1_model138,8.6167
g1_model739,9.3227
g1_model396,8.8775
g1_model132,8.6122
g1_model938,9.8223
g1_model900,9.7044
