,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,mos_name,asymmetry,hi_mass
0,1,60.693315858453474,881.9184141546527,269.944626474443,36,875,266,86,889,274,3052,1497.69384765625,1497.69384765625,5.786759376525879,"[75, 884, 269]",2.380866414241232,461.7745672266255,14,8,386.4644890421845,7334.749733174435,4191.0482042861095,data/training/Target/mask_1245mosH.fits,1245mosH,0.0706713780918728,3026200523.8392797
1,2,61.79147747118407,1562.9441145651415,1820.9469088368844,42,1556,1816,83,1571,1827,2863,4480.7392578125,4480.7392578125,13.042195320129396,"[45, 1561, 1822]",2.675604005981604,461.6390579242264,15,11,316.9008810145914,7856.452032551952,5761.1410839587525,data/training/Target/mask_1245mosH.fits,1245mosH,0.0667311411992263,-2284607305.352412
2,3,78.69757575757576,1543.940606060606,1471.9533333333334,50,1537,1469,108,1552,1476,3300,1274.3192138671875,1274.3192138671875,3.007777690887451,"[102, 1543, 1472]",2.182133315826492,459.3365835230689,15,7,448.2988072889341,7817.267133920948,3647.782538739096,data/training/Target/mask_1245mosH.fits,1245mosH,0.0984848484848484,1687343537.3443487
3,4,59.7262313860252,750.9644902634593,2064.916380297824,54,745,2061,67,758,2070,873,250.62661743164065,250.62661743164065,1.6870721578598022,"[63, 752, 2065]",2.7556766575840146,461.9100842700824,13,9,100.480767150968,6812.758893958065,4716.347318652803,data/training/Target/mask_1245mosH.fits,1245mosH,0.0937853107344632,-10370635619.513613
4,5,60.7144495412844,1310.97247706422,214.95871559633028,54,1305,211,68,1318,220,872,35.91204071044922,35.91204071044922,1.063393235206604,"[59, 1310, 215]",3.210144927536232,461.7745672266255,13,9,108.21005693181168,6810.760139277156,4714.963617654913,data/training/Target/mask_1245mosH.fits,1245mosH,0.0312852311161217,-2092024340.8784285
5,6,67.78401585204756,505.9577278731836,298.93857331572,56,500,295,80,513,303,1514,449.5460815429688,449.5460815429688,3.338883638381958,"[75, 507, 299]",2.3742462625253298,460.8261646349358,13,8,185.50295474024853,6796.772052825662,4182.440538855954,data/training/Target/mask_1245mosH.fits,1245mosH,0.142063492063492,1041123136.9749719
6,7,72.70575578267886,375.9230769230769,1462.957504034427,58,370,1460,88,383,1467,1859,55.97959899902344,55.97959899902344,1.151034593582153,"[67, 372, 1463]",2.3742462625253298,460.1489663180964,13,7,231.8786934253108,6786.783985855201,3654.234007837736,data/training/Target/mask_1245mosH.fits,1245mosH,0.0314274895872775,1593888961.6334894
7,8,76.75126171593367,91.9185291997116,71.93294881038211,67,86,68,88,99,77,1387,252.6368103027344,252.6368103027344,15.69804859161377,"[75, 90, 69]",2.670048323886994,459.6073468644893,13,9,162.31508539771752,6778.795585351813,4692.835146569371,data/training/Target/mask_1245mosH.fits,1245mosH,0.0784810126582278,4734857927.762415
8,9,82.71496437054631,786.9269596199525,2269.935273159145,71,780,2266,95,795,2275,1684,1289.839111328125,1289.839111328125,20.8210506439209,"[75, 785, 2271]",1.8420688066534607,458.7951495845177,15,9,185.50295474024853,7808.052684463075,4684.542180916404,data/training/Target/mask_1245mosH.fits,1245mosH,0.1131879543094496,-3792228496.5852942
9,10,77.69363538295578,1335.9697950377565,963.9719525350594,71,1330,960,86,1343,968,927,-25.70891571044922,-25.70891571044922,3.84436559677124,"[72, 1331, 963]",3.0363262508567512,459.4719613288823,13,8,115.93934671265538,6776.798770293582,4170.14984175637,data/training/Target/mask_1245mosH.fits,1245mosH,0.0549645390070922,
10,11,85.72827891532927,1576.955174322081,2143.946319867184,72,1571,2139,101,1584,2150,1807,1810.8427734375,1810.8427734375,6.958135604858398,"[95, 1577, 2145]",2.4879342394956065,458.3891552610109,13,11,224.14940364446707,6760.8283532783735,5720.583103799735,data/training/Target/mask_1245mosH.fits,1245mosH,0.0621375310687655,-2448456630.5057855
11,12,79.70786516853933,960.9625468164794,1173.9413233458176,74,955,1170,86,968,1179,801,278.3827209472656,278.3827209472656,2.3410732746124268,"[75, 964, 1174]",2.7556766575840146,459.2012134463882,13,9,92.75147737012428,6772.8054821899095,4688.688308639857,data/training/Target/mask_1245mosH.fits,1245mosH,0.0607513988808952,-3237762145.9097276
12,13,89.7038560411311,184.93830334190235,466.9506426735218,75,179,463,106,192,472,1945,1055.083740234375,1055.083740234375,3.600015878677368,"[100, 185, 466]",2.4879342394956057,457.84793763625095,13,9,239.60798320615444,6752.845879389593,4674.8706437828005,data/training/Target/mask_1245mosH.fits,1245mosH,0.1066997518610421,-1510890298.8996024
13,14,82.65989847715736,537.9197969543147,127.9502538071066,76,532,124,91,545,133,985,119.45863342285156,119.45863342285156,0.8315792083740234,"[85, 539, 128]",3.0928701533181164,458.7951495845177,13,9,115.93934671265538,6766.816404919936,4684.542180916404,data/training/Target/mask_1245mosH.fits,1245mosH,0.0658520027155465,1248517248.5109673
14,15,86.67485955056179,1634.9487359550562,55.98525280898876,76,1629,53,98,1642,60,1424,-4.713562488555908,-4.713562488555908,2.3587982654571533,"[93, 1637, 55]",2.872881355932204,458.2538392697234,13,7,170.04437517856124,6758.832563936397,3639.18401703856,data/training/Target/mask_1245mosH.fits,1245mosH,0.2695062193742932,-1651728942.1273568
15,16,94.69504830917874,418.95350241545896,1923.955917874396,82,413,1920,109,426,1929,1656,238.52001953125,238.52001953125,1.0452837944030762,"[101, 418, 1924]",2.4879342394956057,457.17158934208527,13,9,208.69082408277967,6742.87034949015,4667.964768435428,data/training/Target/mask_1245mosH.fits,1245mosH,0.1008064516129032,-1651123184.4809833
16,17,91.69622093023256,823.9600290697674,1431.954215116279,82,818,1428,102,831,1437,1376,1402.940673828125,1402.940673828125,6.646718978881836,"[97, 824, 1431]",3.3703971610653936,457.57737515764654,13,9,154.58579561687384,6748.85532582678,4672.10805715837,data/training/Target/mask_1245mosH.fits,1245mosH,0.0827900912646675,-1704701237.3687968
17,18,92.70171339563863,1291.9345794392525,1254.9493769470405,83,1286,1251,103,1299,1260,1284,-144.33145141601562,-144.33145141601562,2.9936556816101074,"[99, 1293, 1255]",2.817831649677597,457.44210549947405,13,9,154.58579561687384,6746.860219856636,4670.7268820956415,data/training/Target/mask_1245mosH.fits,1245mosH,0.0491803278688524,-5792092769.067005
18,19,92.72863924050633,1457.9335443037974,365.9509493670886,83,1452,362,103,1465,370,1264,153.0191650390625,153.0191650390625,2.0585055351257324,"[100, 1463, 364]",2.872881355932204,457.44210549947405,13,8,154.58579561687384,6746.860219856636,4151.72694835214,data/training/Target/mask_1245mosH.fits,1245mosH,0.0472659870250231,-487508.5505524725
19,20,99.731027857829,1670.9707012487993,1039.9649375600384,83,1665,1036,117,1678,1044,2082,558.5814208984375,558.5814208984375,1.7464702129364014,"[110, 1672, 1037]",2.5543478260869565,456.4954340116867,13,8,262.7958525486855,6732.897665632969,4143.134994354394,data/training/Target/mask_1245mosH.fits,1245mosH,0.0521064301552106,-693846945.4410138
20,21,97.7335403726708,1303.9590062111802,1539.9645962732918,85,1298,1536,111,1311,1545,1610,551.9248046875,551.9248046875,2.4319279193878174,"[105, 1304, 1540]",2.4226950354609924,456.76587299348,13,9,200.961534301936,6736.886397728733,4663.822189007005,data/training/Target/mask_1245mosH.fits,1245mosH,0.1428571428571428,-220797653.4159205
